,Account_date,general,wind_direction,max,min_tem,max_wind,min_wind,Weekday,Chinese_festival,Solar_festival,Term_festival,Lunar_festival,sales
57,2018-01-02,阴,东风,12.0,7.0,10,1,星期二,null,null,null,null,194.52000000000004
89,2018-01-03,阵雨,东北风,10.0,5.0,20,7,星期三,null,null,null,null,453.66999999999996
199,2018-01-04,阵雨,东北风,5.0,4.0,13,7,星期四,null,null,null,null,184.62
231,2018-01-05,阴,北风,4.0,2.0,17,6,星期五,null,null,小寒,null,282.57000000000005
301,2018-01-06,阴,东风,5.0,2.0,10,4,星期六,null,null,null,null,291.15
378,2018-01-07,阵雨,北风,6.0,4.0,13,4,星期日,null,null,null,null,216.64000000000004
494,2018-01-08,阴,西北风,5.0,2.0,13,5,星期一,null,null,null,null,314.34000000000003
530,2018-01-09,晴,西北风,9.0,-1.0,10,4,星期二,null,null,null,null,134.24
631,2018-01-10,晴,北风,9.0,1.0,27,4,星期三,null,null,null,null,558.86
704,2018-01-11,晴,北风,7.0,-1.0,13,4,星期四,null,null,null,null,220.92
765,2018-01-12,晴,北风,4.0,-1.0,13,4,星期五,null,null,null,null,196.85
897,2018-01-13,晴,东南风,6.0,-3.0,10,0,星期六,null,null,null,null,303.33000000000004
964,2018-01-14,晴,西南风,12.0,0.0,13,0,星期日,null,null,null,null,316.82
1007,2018-01-15,多云,东风,15.0,2.0,10,2,星期一,null,null,null,null,239.86
1067,2018-01-16,阴,北风,15.0,8.0,13,0,星期二,null,null,null,null,313.41
1210,2018-01-17,多云,东风,12.0,7.0,10,1,星期三,null,null,null,null,151.7
1258,2018-01-18,多云,东北风,8.0,7.0,12,3,星期四,null,null,null,null,396.85
1320,2018-01-19,阴,东北风,8.0,6.0,10,3,星期五,null,null,null,null,153.95
1383,2018-01-20,阵雨,东风,8.0,6.0,9,0,星期六,null,null,大寒,null,157.18
1457,2018-01-21,阵雨,东北风,7.0,6.0,12,4,星期日,null,null,null,null,196.88
1532,2018-01-22,多云,北风,11.0,3.0,13,0,星期一,null,null,null,null,315.67
1626,2018-01-23,阴,东北风,7.0,3.0,13,0,星期二,null,null,null,null,299.64
1754,2018-01-24,阴,东北风,3.0,0.0,17,7,星期三,null,null,null,腊八节,207.1
1768,2018-01-25,阵雪,东北风,0.0,0.0,12,6,星期四,null,null,null,null,172.26
