Account_date,max,min_tem,max_wind,min_wind,sales,year,month,day,dayofweek,weekofyear,period_of_month,period2_of_month,week_of_month,quarter,general_feature,wind_direction_feature
2018-01-01,11.0,1.0,12,2,244.5,2018,1,1,0,1,1,1,1,1,3,2
2018-01-02,12.0,7.0,10,1,267.11000000000007,2018,1,2,1,1,1,1,1,1,24,2
2018-01-03,10.0,5.0,20,7,119.14,2018,1,3,2,1,1,1,1,1,27,0
2018-01-04,5.0,4.0,13,7,90.3,2018,1,4,3,1,1,1,1,1,27,0
2018-01-05,4.0,2.0,17,6,114.46000000000001,2018,1,5,4,1,1,1,1,1,24,3
2018-01-06,5.0,2.0,10,4,129.54999999999998,2018,1,6,5,1,1,1,1,1,24,2
2018-01-07,6.0,4.0,13,4,51.2,2018,1,7,6,1,1,1,1,1,27,3
2018-01-08,5.0,2.0,13,5,86.86,2018,1,8,0,2,1,1,2,1,24,6
2018-01-09,9.0,-1.0,10,4,119.76,2018,1,9,1,2,1,1,2,1,20,6
2018-01-10,9.0,1.0,27,4,86.75,2018,1,10,2,2,1,1,2,1,20,3
2018-01-11,7.0,-1.0,13,4,136.39000000000001,2018,1,11,3,2,2,1,2,1,20,3
2018-01-12,4.0,-1.0,13,4,126.06000000000002,2018,1,12,4,2,2,1,2,1,20,3
2018-01-13,6.0,-3.0,10,0,180.20999999999998,2018,1,13,5,2,2,1,2,1,20,1
2018-01-14,12.0,0.0,13,0,222.65999999999997,2018,1,14,6,2,2,1,2,1,20,7
2018-01-15,15.0,2.0,10,2,58.93000000000001,2018,1,15,0,3,2,1,3,1,3,4
2018-01-16,15.0,8.0,13,0,121.26999999999998,2018,1,16,1,3,2,2,3,1,24,3
2018-01-17,12.0,7.0,10,1,65.56,2018,1,17,2,3,2,2,3,1,3,2
2018-01-18,8.0,7.0,12,3,72.32000000000001,2018,1,18,3,3,2,2,3,1,3,0
2018-01-19,8.0,6.0,10,3,143.7,2018,1,19,4,3,2,2,3,1,24,0
2018-01-20,8.0,6.0,9,0,93.07000000000001,2018,1,20,5,3,2,2,3,1,27,2
2018-01-21,7.0,6.0,12,4,105.82000000000001,2018,1,21,6,3,3,2,3,1,27,0
2018-01-22,11.0,3.0,13,0,46.89,2018,1,22,0,4,3,2,4,1,3,3
2018-01-23,7.0,3.0,13,0,18.46,2018,1,23,1,4,3,2,4,1,24,0
2018-01-24,3.0,0.0,17,7,43.57,2018,1,24,2,4,3,2,4,1,24,0
2018-01-25,0.0,0.0,12,6,123.87000000000002,2018,1,25,3,4,3,2,4,1,28,0
2018-01-26,0.0,-1.0,13,7,196.26000000000002,2018,1,26,4,4,3,2,4,1,28,0
2018-01-27,0.0,-1.0,10,1,78.33000000000001,2018,1,27,5,4,3,2,4,1,28,0
2018-01-28,1.0,0.0,12,4,74.75,2018,1,28,6,4,3,2,4,1,24,3
2018-01-29,1.0,-3.0,13,5,81.34,2018,1,29,0,5,3,2,4,1,3,6
2018-01-30,2.0,-4.0,10,3,76.05,2018,1,30,1,5,3,2,4,1,3,6
2018-01-31,0.0,-2.0,10,0,205.60000000000002,2018,1,31,2,5,3,2,4,1,3,6
2018-02-01,5.0,-3.0,10,2,273.43000000000006,2018,2,1,3,5,1,1,1,1,3,7
2018-02-02,7.0,-1.0,13,3,163.28000000000003,2018,2,2,4,5,1,1,1,1,3,3
2018-02-03,2.0,-1.0,18,7,276.23,2018,2,3,5,5,1,1,1,1,3,3
2018-02-04,2.0,-3.0,12,5,144.63,2018,2,4,6,5,1,1,1,1,20,3
2018-02-05,6.0,-3.0,10,4,101.07,2018,2,5,0,6,1,1,1,1,20,6
2018-02-06,6.0,-3.0,13,4,98.4,2018,2,6,1,6,1,1,1,1,20,0
2018-02-07,7.0,-1.0,10,3,30.009999999999998,2018,2,7,2,6,1,1,1,1,3,7
2018-02-08,9.0,0.0,10,0,62.57000000000001,2018,2,8,3,6,1,1,2,1,20,1
2018-02-09,6.0,3.0,13,3,71.11,2018,2,9,4,6,1,1,2,1,3,7
2018-02-10,6.0,3.0,13,2,61.61,2018,2,10,5,6,1,1,2,1,24,3
2018-02-11,10.0,0.0,11,1,54.3,2018,2,11,6,6,2,1,2,1,20,3
2018-02-12,11.0,0.0,21,0,59.120000000000005,2018,2,12,0,7,2,1,2,1,20,3
2018-02-13,15.0,0.0,11,5,26.32,2018,2,13,1,7,2,1,2,1,20,4
2018-02-14,16.0,5.0,13,0,11.9,2018,2,14,2,7,2,1,2,1,20,7
2018-02-15,12.0,6.0,12,6,33.31,2018,2,15,3,7,2,1,3,1,24,3
2018-02-16,6.0,5.0,10,4,6.07,2018,2,16,4,7,2,2,3,1,24,0
2018-02-17,12.0,4.0,21,2,7.43,2018,2,17,5,7,2,2,3,1,3,2
2018-02-18,8.0,4.0,13,0,12.28,2018,2,18,6,7,2,2,3,1,3,3
2018-02-19,7.0,5.0,12,4,45.00999999999999,2018,2,19,0,8,2,2,3,1,27,3
2018-02-20,6.0,4.0,13,4,10.71,2018,2,20,1,8,2,2,3,1,27,0
2018-02-21,6.0,3.0,10,4,16.44,2018,2,21,2,8,3,2,3,1,24,3
2018-02-22,7.0,4.0,13,0,35.32,2018,2,22,3,8,3,2,4,1,24,7
2018-02-23,16.0,2.0,10,0,27.76,2018,2,23,4,8,3,2,4,1,20,7
2018-02-24,9.0,5.0,10,0,32.29,2018,2,24,5,8,3,2,4,1,24,3
2018-02-25,9.0,7.0,14,0,50.95,2018,2,25,6,8,3,2,4,1,24,3
2018-02-26,14.0,7.0,10,0,15.14,2018,2,26,0,9,3,2,4,1,20,7
2018-02-27,20.0,5.0,12,2,15.93,2018,2,27,1,9,3,2,4,1,3,7
2018-02-28,17.0,9.0,18,1,31.64,2018,2,28,2,9,3,2,4,1,3,6
2018-03-01,18.0,8.0,18,6,11.95,2018,3,1,3,9,1,1,1,1,20,2
2018-03-02,8.0,6.0,12,4,40.760000000000005,2018,3,2,4,9,1,1,1,1,27,2
2018-03-03,23.0,8.0,13,0,9.0,2018,3,3,5,9,1,1,1,1,24,2
2018-03-04,29.0,11.0,19,0,40.24,2018,3,4,6,9,1,1,1,1,3,7
2018-03-05,18.0,8.0,25,8,68.86,2018,3,5,0,10,1,1,1,1,24,3
2018-03-06,10.0,5.0,13,5,88.16999999999999,2018,3,6,1,10,1,1,1,1,24,0
2018-03-07,9.0,7.0,10,3,71.74000000000001,2018,3,7,2,10,1,1,1,1,27,1
2018-03-08,10.0,6.0,14,5,65.17999999999999,2018,3,8,3,10,1,1,2,1,24,3
2018-03-09,12.0,3.0,13,2,96.11000000000001,2018,3,9,4,10,1,1,2,1,20,3
2018-03-10,18.0,3.0,12,3,74.14000000000001,2018,3,10,5,10,1,1,2,1,20,1
2018-03-11,23.0,5.0,21,3,38.370000000000005,2018,3,11,6,10,2,1,2,1,3,4
2018-03-12,23.0,9.0,13,7,85.4,2018,3,12,0,11,2,1,2,1,3,4
2018-03-13,27.0,11.0,11,2,71.91,2018,3,13,1,11,2,1,2,1,3,4
2018-03-14,21.0,15.0,14,1,38.46,2018,3,14,2,11,2,1,2,1,24,7
2018-03-15,21.0,14.0,10,1,56.62,2018,3,15,3,11,2,1,3,1,24,7
2018-03-16,13.0,7.0,18,7,135.35000000000002,2018,3,16,4,11,2,2,3,1,27,3
2018-03-17,17.0,7.0,11,4,168.21999999999994,2018,3,17,5,11,2,2,3,1,3,1
2018-03-18,14.0,10.0,10,0,80.10000000000001,2018,3,18,6,11,2,2,3,1,27,3
2018-03-19,11.0,8.0,19,7,60.8,2018,3,19,0,12,2,2,3,1,24,3
2018-03-20,8.0,6.0,15,6,48.09,2018,3,20,1,12,2,2,3,1,24,3
2018-03-21,10.0,5.0,14,4,57.95,2018,3,21,2,12,3,2,3,1,24,3
2018-03-22,18.0,4.0,15,1,69.43,2018,3,22,3,12,3,2,4,1,20,7
