,Account_date,sales_qty
112,2018-03-27,0.98
32,2018-03-28,0.47
6,2018-03-29,1.8
85,2018-03-30,0.8
58,2018-03-31,0.81
137,2018-04-01,0.92
167,2018-04-02,1.3645833376801746
141,2018-04-03,0.91
222,2018-04-06,1.92
196,2018-04-07,0.85
220,2018-04-08,0.87
195,2018-04-11,1.5
5,2018-04-16,1.47
108,2018-04-20,0.3
33,2018-04-23,1.49
218,2018-04-30,1.41
165,2018-05-02,1.05
60,2018-05-08,2.23
139,2018-05-14,0.79
29,2018-06-04,1.0
241,2018-07-21,1.49
140,2018-08-15,0.74
243,2018-08-18,1.0
163,2018-09-10,1.0
26,2018-12-30,6.9
133,2018-12-31,10.34
79,2019-01-01,0.75
138,2019-01-02,5.96
244,2019-01-03,1.58
213,2019-01-04,16.22
159,2019-01-05,15.860000000000001
51,2019-01-06,17.25
109,2019-01-07,8.469999999999999
240,2019-01-08,14.329999999999998
190,2019-01-09,16.16
84,2019-01-10,12.690000000000001
203,2019-01-11,15.649999999999999
184,2019-01-12,15.562
16,2019-01-13,27.45
74,2019-01-14,17.5
28,2019-01-15,10.821999999999997
210,2019-01-16,14.860000000000003
226,2019-01-17,6.41
149,2019-01-18,10.16
146,2019-01-19,14.71
171,2019-01-20,13.300000000000002
50,2019-01-21,9.11
96,2019-01-22,10.58
97,2019-01-23,14.190000000000001
22,2019-01-24,11.05
207,2019-01-25,9.62
182,2019-01-26,7.293999999999999
209,2019-01-27,6.27
212,2019-01-28,7.09
214,2019-01-29,10.434000000000001
188,2019-01-30,15.5
215,2019-01-31,11.76
15,2019-02-01,8.18
73,2019-02-02,9.46
156,2019-02-03,9.208
158,2019-02-04,5.6
197,2019-02-05,0.368
39,2019-02-06,3.11
0,2019-02-07,4.11
193,2019-02-08,1.71
83,2019-02-09,3.11
1,2019-02-10,1.22
30,2019-02-11,1.65
161,2019-02-12,9.129999999999999
82,2019-02-13,2.13
191,2019-02-14,1.05
110,2019-02-15,3.44
134,2019-02-16,0.0
160,2019-02-21,1.58
186,2019-03-17,6.05
237,2019-03-18,17.18
76,2019-03-19,15.610000000000001
48,2019-03-20,28.17
135,2019-03-21,16.92
