Account_date,forecast,wh_name,wh_code,sku_code,sku_name,forecast_old
2020-03-19,473.0,杭州配送中心,001,08860,福沃柑（5KG）,294.0
2020-03-20,502.0,杭州配送中心,001,08860,福沃柑（5KG）,158.0
2020-03-21,477.0,杭州配送中心,001,08860,福沃柑（5KG）,229.0
2020-03-22,424.0,杭州配送中心,001,08860,福沃柑（5KG）,484.0
2020-03-23,414.0,杭州配送中心,001,08860,福沃柑（5KG）,184.0
2020-03-24,461.0,杭州配送中心,001,08860,福沃柑（5KG）,0.0
2020-03-25,461.0,杭州配送中心,001,08860,福沃柑（5KG）,0.0
2020-03-19,11237.0,杭州配送中心,001,08910,沃柑,9698.0
2020-03-20,12119.0,杭州配送中心,001,08910,沃柑,3866.0
2020-03-21,11922.0,杭州配送中心,001,08910,沃柑,2154.0
2020-03-22,13230.0,杭州配送中心,001,08910,沃柑,2485.0
2020-03-23,12950.0,杭州配送中心,001,08910,沃柑,3866.0
2020-03-24,12721.0,杭州配送中心,001,08910,沃柑,0.0
2020-03-25,11320.0,杭州配送中心,001,08910,沃柑,0.0
2020-03-19,4.0,杭州配送中心,001,09030,海南凤梨,5.0
2020-03-20,4.0,杭州配送中心,001,09030,海南凤梨,6.0
2020-03-21,4.0,杭州配送中心,001,09030,海南凤梨,8.0
2020-03-22,4.0,杭州配送中心,001,09030,海南凤梨,8.0
2020-03-23,3.0,杭州配送中心,001,09030,海南凤梨,1.0
2020-03-24,3.0,杭州配送中心,001,09030,海南凤梨,0.0
2020-03-25,4.0,杭州配送中心,001,09030,海南凤梨,0.0
2020-03-19,1.0,杭州配送中心,001,10010,甜脆柿,2.0
2020-03-20,1.0,杭州配送中心,001,10010,甜脆柿,1.0
2020-03-21,1.0,杭州配送中心,001,10010,甜脆柿,1.0
2020-03-22,1.0,杭州配送中心,001,10010,甜脆柿,1.0
2020-03-23,1.0,杭州配送中心,001,10010,甜脆柿,1.0
2020-03-24,1.0,杭州配送中心,001,10010,甜脆柿,0.0
2020-03-25,1.0,杭州配送中心,001,10010,甜脆柿,0.0
2020-03-19,1.0,杭州配送中心,001,10040,大红柿,1.0
2020-03-20,1.0,杭州配送中心,001,10040,大红柿,2.0
2020-03-21,1.0,杭州配送中心,001,10040,大红柿,2.0
2020-03-22,1.0,杭州配送中心,001,10040,大红柿,2.0
2020-03-23,1.0,杭州配送中心,001,10040,大红柿,1.0
2020-03-24,1.0,杭州配送中心,001,10040,大红柿,0.0
2020-03-25,1.0,杭州配送中心,001,10040,大红柿,0.0
2020-03-19,4.0,杭州配送中心,001,10080,会理石榴,1.0
2020-03-20,4.0,杭州配送中心,001,10080,会理石榴,1.0
2020-03-21,5.0,杭州配送中心,001,10080,会理石榴,1.0
2020-03-22,4.0,杭州配送中心,001,10080,会理石榴,1.0
2020-03-23,3.0,杭州配送中心,001,10080,会理石榴,1.0
2020-03-24,3.0,杭州配送中心,001,10080,会理石榴,0.0
2020-03-25,3.0,杭州配送中心,001,10080,会理石榴,0.0
2020-03-19,293.0,杭州配送中心,001,10130,冰糖枇杷,28.0
2020-03-20,335.0,杭州配送中心,001,10130,冰糖枇杷,42.0
2020-03-21,182.0,杭州配送中心,001,10130,冰糖枇杷,27.0
2020-03-22,316.0,杭州配送中心,001,10130,冰糖枇杷,19.0
2020-03-23,259.0,杭州配送中心,001,10130,冰糖枇杷,64.0
2020-03-24,283.0,杭州配送中心,001,10130,冰糖枇杷,0.0
2020-03-25,202.0,杭州配送中心,001,10130,冰糖枇杷,0.0
2020-03-19,322.0,杭州配送中心,001,10500,进口柠檬（个）,141.0
2020-03-20,321.0,杭州配送中心,001,10500,进口柠檬（个）,64.0
2020-03-21,376.0,杭州配送中心,001,10500,进口柠檬（个）,62.0
2020-03-22,348.0,杭州配送中心,001,10500,进口柠檬（个）,56.0
2020-03-23,317.0,杭州配送中心,001,10500,进口柠檬（个）,220.0
2020-03-24,315.0,杭州配送中心,001,10500,进口柠檬（个）,0.0
2020-03-25,321.0,杭州配送中心,001,10500,进口柠檬（个）,0.0
2020-03-19,144.0,杭州配送中心,001,10510,红西柚（只）,69.0
2020-03-20,137.0,杭州配送中心,001,10510,红西柚（只）,24.0
2020-03-21,149.0,杭州配送中心,001,10510,红西柚（只）,19.0
2020-03-22,152.0,杭州配送中心,001,10510,红西柚（只）,8.0
2020-03-23,111.0,杭州配送中心,001,10510,红西柚（只）,15.0
2020-03-24,131.0,杭州配送中心,001,10510,红西柚（只）,0.0
2020-03-25,132.0,杭州配送中心,001,10510,红西柚（只）,0.0
2020-03-19,3426.0,杭州配送中心,001,10890,脆心甜富士,869.0
2020-03-20,3490.0,杭州配送中心,001,10890,脆心甜富士,247.0
2020-03-21,3849.0,杭州配送中心,001,10890,脆心甜富士,186.0
2020-03-22,3977.0,杭州配送中心,001,10890,脆心甜富士,83.0
2020-03-23,3501.0,杭州配送中心,001,10890,脆心甜富士,1610.0
2020-03-24,3241.0,杭州配送中心,001,10890,脆心甜富士,0.0
2020-03-25,3507.0,杭州配送中心,001,10890,脆心甜富士,0.0
2020-03-19,384.0,杭州配送中心,001,11030,北半球(车厘子),276.0
2020-03-20,485.0,杭州配送中心,001,11030,北半球(车厘子),384.0
2020-03-21,607.0,杭州配送中心,001,11030,北半球(车厘子),506.0
2020-03-22,466.0,杭州配送中心,001,11030,北半球(车厘子),543.0
2020-03-23,368.0,杭州配送中心,001,11030,北半球(车厘子),473.0
2020-03-24,400.0,杭州配送中心,001,11030,北半球(车厘子),0.0
2020-03-25,386.0,杭州配送中心,001,11030,北半球(车厘子),0.0
2020-03-19,103.0,杭州配送中心,001,11090,大樱桃,59.0
2020-03-20,94.0,杭州配送中心,001,11090,大樱桃,4.0
2020-03-21,104.0,杭州配送中心,001,11090,大樱桃,12.0
2020-03-22,103.0,杭州配送中心,001,11090,大樱桃,5.0
2020-03-23,95.0,杭州配送中心,001,11090,大樱桃,5.0
2020-03-24,117.0,杭州配送中心,001,11090,大樱桃,0.0
2020-03-25,91.0,杭州配送中心,001,11090,大樱桃,0.0
2020-03-19,14.0,杭州配送中心,001,11270,樱桃李,1.0
2020-03-20,16.0,杭州配送中心,001,11270,樱桃李,1.0
2020-03-21,15.0,杭州配送中心,001,11270,樱桃李,1.0
2020-03-22,14.0,杭州配送中心,001,11270,樱桃李,1.0
2020-03-23,13.0,杭州配送中心,001,11270,樱桃李,1.0
2020-03-24,14.0,杭州配送中心,001,11270,樱桃李,0.0
2020-03-25,14.0,杭州配送中心,001,11270,樱桃李,0.0
2020-03-19,34.0,杭州配送中心,001,11450,马来西亚榴莲D101,11.0
2020-03-20,23.0,杭州配送中心,001,11450,马来西亚榴莲D101,4.0
2020-03-21,23.0,杭州配送中心,001,11450,马来西亚榴莲D101,3.0
2020-03-22,35.0,杭州配送中心,001,11450,马来西亚榴莲D101,13.0
2020-03-23,35.0,杭州配送中心,001,11450,马来西亚榴莲D101,8.0
2020-03-24,22.0,杭州配送中心,001,11450,马来西亚榴莲D101,0.0
2020-03-25,19.0,杭州配送中心,001,11450,马来西亚榴莲D101,0.0
2020-03-19,3.0,杭州配送中心,001,11470,纽荷尔,1.0
2020-03-20,2.0,杭州配送中心,001,11470,纽荷尔,1.0
2020-03-21,2.0,杭州配送中心,001,11470,纽荷尔,1.0
2020-03-22,2.0,杭州配送中心,001,11470,纽荷尔,1.0
2020-03-23,3.0,杭州配送中心,001,11470,纽荷尔,1.0
2020-03-24,2.0,杭州配送中心,001,11470,纽荷尔,0.0
2020-03-25,2.0,杭州配送中心,001,11470,纽荷尔,0.0
2020-03-19,4061.0,杭州配送中心,001,11580,满山红富士（小）,87.0
2020-03-20,4100.0,杭州配送中心,001,11580,满山红富士（小）,58.0
2020-03-21,4189.0,杭州配送中心,001,11580,满山红富士（小）,57.0
2020-03-22,4093.0,杭州配送中心,001,11580,满山红富士（小）,47.0
2020-03-23,4170.0,杭州配送中心,001,11580,满山红富士（小）,156.0
2020-03-24,4105.0,杭州配送中心,001,11580,满山红富士（小）,0.0
2020-03-25,3710.0,杭州配送中心,001,11580,满山红富士（小）,0.0
2020-03-19,423.0,杭州配送中心,001,11590,满山红富士（中）,2.0
2020-03-20,469.0,杭州配送中心,001,11590,满山红富士（中）,2.0
2020-03-21,469.0,杭州配送中心,001,11590,满山红富士（中）,2.0
2020-03-22,439.0,杭州配送中心,001,11590,满山红富士（中）,3.0
2020-03-23,488.0,杭州配送中心,001,11590,满山红富士（中）,4.0
2020-03-24,472.0,杭州配送中心,001,11590,满山红富士（中）,0.0
2020-03-25,468.0,杭州配送中心,001,11590,满山红富士（中）,0.0
2020-03-19,7517.0,杭州配送中心,001,11600,满山红富士（大）,180.0
2020-03-20,8306.0,杭州配送中心,001,11600,满山红富士（大）,93.0
2020-03-21,8116.0,杭州配送中心,001,11600,满山红富士（大）,118.0
2020-03-22,8934.0,杭州配送中心,001,11600,满山红富士（大）,91.0
2020-03-23,7786.0,杭州配送中心,001,11600,满山红富士（大）,115.0
2020-03-24,8039.0,杭州配送中心,001,11600,满山红富士（大）,0.0
2020-03-25,6634.0,杭州配送中心,001,11600,满山红富士（大）,0.0
2020-03-19,222.0,杭州配送中心,001,11650,优选香梨,68.0
2020-03-20,225.0,杭州配送中心,001,11650,优选香梨,38.0
2020-03-21,226.0,杭州配送中心,001,11650,优选香梨,45.0
2020-03-22,235.0,杭州配送中心,001,11650,优选香梨,36.0
2020-03-23,228.0,杭州配送中心,001,11650,优选香梨,55.0
2020-03-24,229.0,杭州配送中心,001,11650,优选香梨,0.0
2020-03-25,224.0,杭州配送中心,001,11650,优选香梨,0.0
2020-03-19,24.0,杭州配送中心,001,11670,优选车厘子XL,12.0
2020-03-20,24.0,杭州配送中心,001,11670,优选车厘子XL,5.0
2020-03-21,24.0,杭州配送中心,001,11670,优选车厘子XL,5.0
2020-03-22,24.0,杭州配送中心,001,11670,优选车厘子XL,5.0
2020-03-23,20.0,杭州配送中心,001,11670,优选车厘子XL,8.0
2020-03-24,22.0,杭州配送中心,001,11670,优选车厘子XL,0.0
2020-03-25,22.0,杭州配送中心,001,11670,优选车厘子XL,0.0
2020-03-19,982.0,杭州配送中心,001,11690,甄选山竹,39.0
2020-03-20,970.0,杭州配送中心,001,11690,甄选山竹,31.0
2020-03-21,966.0,杭州配送中心,001,11690,甄选山竹,36.0
2020-03-22,953.0,杭州配送中心,001,11690,甄选山竹,20.0
2020-03-23,948.0,杭州配送中心,001,11690,甄选山竹,26.0
2020-03-24,974.0,杭州配送中心,001,11690,甄选山竹,0.0
2020-03-25,983.0,杭州配送中心,001,11690,甄选山竹,0.0
2020-03-19,1309.0,杭州配送中心,001,11710,甄选蓝莓,302.0
2020-03-20,1331.0,杭州配送中心,001,11710,甄选蓝莓,172.0
2020-03-21,1369.0,杭州配送中心,001,11710,甄选蓝莓,226.0
2020-03-22,1373.0,杭州配送中心,001,11710,甄选蓝莓,153.0
2020-03-23,1291.0,杭州配送中心,001,11710,甄选蓝莓,280.0
2020-03-24,1324.0,杭州配送中心,001,11710,甄选蓝莓,0.0
2020-03-25,1324.0,杭州配送中心,001,11710,甄选蓝莓,0.0
2020-03-19,1896.0,杭州配送中心,001,11730,甄选红提,413.0
2020-03-20,2052.0,杭州配送中心,001,11730,甄选红提,92.0
2020-03-21,2044.0,杭州配送中心,001,11730,甄选红提,117.0
2020-03-22,1912.0,杭州配送中心,001,11730,甄选红提,116.0
2020-03-23,1909.0,杭州配送中心,001,11730,甄选红提,225.0
2020-03-24,1930.0,杭州配送中心,001,11730,甄选红提,0.0
2020-03-25,1969.0,杭州配送中心,001,11730,甄选红提,0.0
2020-03-19,13.0,杭州配送中心,001,11740,甄选车厘子JJJ,4.0
2020-03-20,16.0,杭州配送中心,001,11740,甄选车厘子JJJ,3.0
2020-03-21,14.0,杭州配送中心,001,11740,甄选车厘子JJJ,4.0
2020-03-22,16.0,杭州配送中心,001,11740,甄选车厘子JJJ,6.0
2020-03-23,14.0,杭州配送中心,001,11740,甄选车厘子JJJ,8.0
2020-03-24,15.0,杭州配送中心,001,11740,甄选车厘子JJJ,0.0
2020-03-25,14.0,杭州配送中心,001,11740,甄选车厘子JJJ,0.0
2020-03-19,7.0,杭州配送中心,001,11750,甄选车厘子JJ,3.0
2020-03-20,6.32,杭州配送中心,001,11750,甄选车厘子JJ,2.0
2020-03-21,6.32,杭州配送中心,001,11750,甄选车厘子JJ,3.0
2020-03-22,6.32,杭州配送中心,001,11750,甄选车厘子JJ,2.0
2020-03-23,6.32,杭州配送中心,001,11750,甄选车厘子JJ,3.0
2020-03-24,6.32,杭州配送中心,001,11750,甄选车厘子JJ,0.0
