,Account_date,Sku_id,Forecast_qty,Price,Gross_profit_rate,Dc_name,Dc_code,Munit,Wrh,Warehouse_name,Sku_name,Update_time
0,2019-11-27,3005999,1757.461669921875,6.029970760233918,-0.9260898470889923,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,冰糖蜜瓜,2019-12-04
1,2019-11-28,3005999,2187.059814453125,6.029970760233918,-0.9260898470889923,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,冰糖蜜瓜,2019-12-04
2,2019-11-29,3005999,2112.101806640625,6.029970760233918,-0.9260898470889923,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,冰糖蜜瓜,2019-12-04
3,2019-11-30,3005999,3015.83203125,6.029970760233918,-0.9260898470889923,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,冰糖蜜瓜,2019-12-04
4,2019-12-01,3005999,3547.048095703125,6.029970760233918,-0.9260898470889923,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,冰糖蜜瓜,2019-12-04
5,2019-12-02,3005999,2340.42333984375,6.029970760233918,-0.9260898470889923,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,冰糖蜜瓜,2019-12-04
6,2019-12-03,3005999,3069.916259765625,6.029970760233918,-0.9260898470889923,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,冰糖蜜瓜,2019-12-04
7,2019-12-04,3005999,2752.986572265625,6.029970760233918,-0.9260898470889923,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,冰糖蜜瓜,2019-12-04
8,2019-12-05,3005999,3075.929931640625,6.029970760233918,-0.9260898470889923,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,冰糖蜜瓜,2019-12-04
9,2019-12-06,3005999,2652.81103515625,6.029970760233918,-0.9260898470889923,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,冰糖蜜瓜,2019-12-04
10,2019-12-07,3005999,2032.261962890625,6.029970760233918,-0.9260898470889923,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,冰糖蜜瓜,2019-12-04
11,2019-12-08,3005999,2344.746337890625,6.029970760233918,-0.9260898470889923,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,冰糖蜜瓜,2019-12-04
12,2019-12-09,3005999,2918.92724609375,6.029970760233918,-0.9260898470889923,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,冰糖蜜瓜,2019-12-04
13,2019-12-10,3005999,178.43325805664062,6.029970760233918,-0.9260898470889923,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,冰糖蜜瓜,2019-12-04
0,2019-11-27,3006087,12.792454719543457,18.666666666666668,-0.9998200458882985,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,泰国山竹(叫货),2019-12-04
1,2019-11-28,3006087,7.558435916900635,18.666666666666668,-0.9998200458882985,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,泰国山竹(叫货),2019-12-04
2,2019-11-29,3006087,15.73160457611084,18.666666666666668,-0.9998200458882985,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,泰国山竹(叫货),2019-12-04
3,2019-11-30,3006087,12.967238426208496,18.666666666666668,-0.9998200458882985,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,泰国山竹(叫货),2019-12-04
4,2019-12-01,3006087,3.9017796516418457,18.666666666666668,-0.9998200458882985,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,泰国山竹(叫货),2019-12-04
5,2019-12-02,3006087,3.010742664337158,18.666666666666668,-0.9998200458882985,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,泰国山竹(叫货),2019-12-04
6,2019-12-03,3006087,3.004561424255371,18.666666666666668,-0.9998200458882985,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,泰国山竹(叫货),2019-12-04
7,2019-12-04,3006087,3.447983741760254,18.666666666666668,-0.9998200458882985,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,泰国山竹(叫货),2019-12-04
8,2019-12-05,3006087,3.763856887817383,18.666666666666668,-0.9998200458882985,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,泰国山竹(叫货),2019-12-04
9,2019-12-06,3006087,3.9798502922058105,18.666666666666668,-0.9998200458882985,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,泰国山竹(叫货),2019-12-04
10,2019-12-07,3006087,2.2763290405273438,18.666666666666668,-0.9998200458882985,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,泰国山竹(叫货),2019-12-04
11,2019-12-08,3006087,4.883658409118652,18.666666666666668,-0.9998200458882985,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,泰国山竹(叫货),2019-12-04
12,2019-12-09,3006087,3.2292416095733643,18.666666666666668,-0.9998200458882985,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,泰国山竹(叫货),2019-12-04
13,2019-12-10,3006087,4.944808006286621,18.666666666666668,-0.9998200458882985,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,泰国山竹(叫货),2019-12-04
0,2019-11-27,3008848,1.1343326568603516,6.5,-0.999991002294415,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,爱媛蜜桔,2019-12-04
1,2019-11-28,3008848,1.2935653924942017,6.5,-0.999991002294415,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,爱媛蜜桔,2019-12-04
2,2019-11-29,3008848,1.401937484741211,6.5,-0.999991002294415,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,爱媛蜜桔,2019-12-04
3,2019-11-30,3008848,1.9747259616851807,6.5,-0.999991002294415,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,爱媛蜜桔,2019-12-04
4,2019-12-01,3008848,2.063671588897705,6.5,-0.999991002294415,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,爱媛蜜桔,2019-12-04
5,2019-12-02,3008848,1.2820143699645996,6.5,-0.999991002294415,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,爱媛蜜桔,2019-12-04
6,2019-12-03,3008848,1.2483744621276855,6.5,-0.999991002294415,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,爱媛蜜桔,2019-12-04
7,2019-12-04,3008848,1.2075600624084473,6.5,-0.999991002294415,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,爱媛蜜桔,2019-12-04
8,2019-12-05,3008848,1.3283320665359497,6.5,-0.999991002294415,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,爱媛蜜桔,2019-12-04
9,2019-12-06,3008848,1.093064308166504,6.5,-0.999991002294415,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,爱媛蜜桔,2019-12-04
10,2019-12-07,3008848,1.2932322025299072,6.5,-0.999991002294415,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,爱媛蜜桔,2019-12-04
11,2019-12-08,3008848,1.5824358463287354,6.5,-0.999991002294415,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,爱媛蜜桔,2019-12-04
12,2019-12-09,3008848,1.346091389656067,6.5,-0.999991002294415,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,爱媛蜜桔,2019-12-04
13,2019-12-10,3008848,1.2452622652053833,6.5,-0.999991002294415,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,爱媛蜜桔,2019-12-04
0,2019-11-27,3020206,50.73705291748047,5.403225806451613,-0.9988472939400452,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,原味含乳酸菌,2019-12-04
1,2019-11-28,3020206,55.04573440551758,5.403225806451613,-0.9988472939400452,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,原味含乳酸菌,2019-12-04
2,2019-11-29,3020206,63.71298599243164,5.403225806451613,-0.9988472939400452,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,原味含乳酸菌,2019-12-04
3,2019-11-30,3020206,91.51673889160156,5.403225806451613,-0.9988472939400452,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,原味含乳酸菌,2019-12-04
