,Sku_id,Sku_code,Dc_name,Dc_code,Wrh,Warehouse_name,Sku_name,rate,Forecast_box,SS,Stock,Suggestion_qty,Update_time,Account_date
0,3009681,13160,杭州配送中心,001,001,杭州配送中心,南水梨,1,2018,2018.0,989.0,4752.0,2020-01-02 10:29:20,2020-01-02
1,3006050,06860,杭州配送中心,001,001,杭州配送中心,黄金火龙果,1,11,11.0,5.0,23.0,2020-01-02 10:29:20,2020-01-02
2,3016022,05590,杭州配送中心,001,001,杭州配送中心,佳沛绿果,1,656,806.0483603256529,88.0,1851.0,2020-01-02 10:29:20,2020-01-02
3,3005378,07220,杭州配送中心,001,001,杭州配送中心,台湾释迦,1,102,102.0,65.0,217.0,2020-01-02 10:29:20,2020-01-02
4,3004585,04130,杭州配送中心,001,001,杭州配送中心,平安果,1,4,5.699982098074286,86.0,0.0,2020-01-02 10:29:20,2020-01-02
5,3015780,08910,杭州配送中心,001,001,杭州配送中心,沃柑,1,21,21.0,1703.0,0.0,2020-01-02 10:29:20,2020-01-02
6,3028483,11850,杭州配送中心,001,001,杭州配送中心,水果胡萝卜76g,1,2,2.0,29.0,0.0,2020-01-02 10:29:20,2020-01-02
7,3006455,65730,杭州配送中心,001,001,杭州配送中心,泰柚,1,7,7.0,33.0,0.0,2020-01-02 10:29:20,2020-01-02
8,3010692,65770,杭州配送中心,001,001,杭州配送中心,冰糖橙,1,17,17.0,71.0,24.0,2020-01-02 10:29:20,2020-01-02
9,3004030,12010,杭州配送中心,001,001,杭州配送中心,广东甘蔗,1,527,527.0,47.0,1335.0,2020-01-02 10:29:20,2020-01-02
10,3009141,42177,杭州配送中心,001,001,杭州配送中心,甘极烤香薯,1,496,496.0,272.0,1069.0,2020-01-02 10:29:20,2020-01-02
11,3020208,40480,杭州配送中心,001,001,杭州配送中心,进口活性草莓味乳酸菌饮品,1,57,57.0,100.0,75.0,2020-01-02 10:29:20,2020-01-02
12,3028382,40074,杭州配送中心,001,001,杭州配送中心,廿八红枣2.5斤礼盒,1,3,3.0,1671.0,0.0,2020-01-02 10:29:20,2020-01-02
13,3012724,06710,杭州配送中心,001,001,杭州配送中心,澳洲香橙,1,470,470.0,133.0,1253.0,2020-01-02 10:29:20,2020-01-02
14,3005097,03090,杭州配送中心,001,001,杭州配送中心,奶油草莓,1,795,1209.528293954941,318.0,4138.0,2020-01-02 10:29:20,2020-01-02
