	Sku_id	Code	Dc_name	Dc_code	Munit	Wrh	Warehouse_name	Sku_name	rate	Forecast_box	SS	Stock	Suggestion_qty	Update_time	Account_date		
0	3005943	7600	杭州配送中心	1000255	箱	1000008	杭州配送中心商品仓	菲律宾凤梨(叫货)	24	161	33.9579572	58	159	2019/11/21 22:39	2019/11/21		
1	3013455	7540	杭州配送中心	1000255	箱	1000008	杭州配送中心商品仓	优选泰国桂圆	20	1	0	376	0	2019/11/21 22:39	2019/11/21		
2	3014458	1310	杭州配送中心	1000255	箱	1000008	杭州配送中心商品仓	克伦森无籽红提	18	2	0.451753951	732	0	2019/11/21 22:39	2019/11/21		
3	3006437	5020	杭州配送中心	1000255	箱	1000008	杭州配送中心商品仓	鲜丰玉麒麟(叫货)	42	128	32.43329103	454	0	2019/11/21 22:39	2019/11/21		
4	3004746	65550	杭州配送中心	1000255	箱	1000008	杭州配送中心商品仓	樱桃小番茄	7.3	249	13.32789005	538	0	2019/11/21 22:39	2019/11/21		
5	3003843	6290	杭州配送中心	1000255	箱	1000008	杭州配送中心商品仓	蜜汁澳芒	12	1	0.349927106	10	0	2019/11/21 22:39	2019/11/21		
6	3000168	7300	杭州配送中心	1000255	箱	1000008	杭州配送中心商品仓	蜜宝红心火龙果	40	12	3.534090536	26	0	2019/11/21 22:39	2019/11/21	200	去年做了吸客单品
7	3010784	12240	杭州配送中心	1000255	箱	1000008	杭州配送中心商品仓	珍珠牛奶枣	13	126	77.45729567	119	84	2019/11/21 22:39	2019/11/21		
8	3000101	6850	杭州配送中心	1000255	箱	1000008	杭州配送中心商品仓	百香果（盒）	12	12	1.8516402	21	0	2019/11/21 22:39	2019/11/21		
9	3004590	1020	杭州配送中心	1000255	箱	1000008	杭州配送中心商品仓	辽宁黑珍珠(叫货)	20	13	11.15932849	81	0	2019/11/21 22:39	2019/11/21		
