,Account_date,Sku_id,Dc_name,Sales_qty,Price,Gross_profit_rate,Dc_code,Wrh,Warehouse_name,Sku_name,Munit
693,2019-11-25,3006683,杭州配送中心,702,4.511396011396012,-0.9949892777341778,1000255,1000008,杭州配送中心商品仓,小黄瓜(叫货),箱
692,2019-11-24,3006683,杭州配送中心,1049,4.502383222116301,-0.9927218559267387,1000255,1000008,杭州配送中心商品仓,小黄瓜(叫货),箱
691,2019-11-23,3006683,杭州配送中心,1080,4.5,-0.9923149596852803,1000255,1000008,杭州配送中心商品仓,小黄瓜(叫货),箱
690,2019-11-22,3006683,杭州配送中心,971,4.511843460350154,-0.9930467730728664,1000255,1000008,杭州配送中心商品仓,小黄瓜(叫货),箱
689,2019-11-21,3006683,杭州配送中心,929,4.527448869752422,-0.9933566940430191,1000255,1000008,杭州配送中心商品仓,小黄瓜(叫货),箱
688,2019-11-20,3006683,杭州配送中心,920,4.508695652173913,-0.9934886603916001,1000255,1000008,杭州配送中心商品仓,小黄瓜(叫货),箱
687,2019-11-19,3006683,杭州配送中心,852,4.5,-0.9940065283352745,1000255,1000008,杭州配送中心商品仓,小黄瓜(叫货),箱
686,2019-11-18,3006683,杭州配送中心,773,4.501940491591203,-0.9945693848068743,1000255,1000008,杭州配送中心商品仓,小黄瓜(叫货),箱
685,2019-11-17,3006683,杭州配送中心,1098,4.5,-0.9921889918070892,1000255,1000008,杭州配送中心商品仓,小黄瓜(叫货),箱
684,2019-11-16,3006683,杭州配送中心,1179,4.506361323155216,-0.9915281603191186,1000255,1000008,杭州配送中心商品仓,小黄瓜(叫货),箱
683,2019-11-15,3006683,杭州配送中心,948,4.5,-0.9931837381467725,1000255,1000008,杭州配送中心商品仓,小黄瓜(叫货),箱
682,2019-11-14,3006683,杭州配送中心,863,4.504055619930475,-0.993942544651114,1000255,1000008,杭州配送中心商品仓,小黄瓜(叫货),箱
681,2019-11-13,3006683,杭州配送中心,835,4.508982035928144,-0.9940435189026798,1000255,1000008,杭州配送中心商品仓,小黄瓜(叫货),箱
680,2019-11-12,3006683,杭州配送中心,702,4.542735042735043,-0.9950462632028833,1000255,1000008,杭州配送中心商品仓,小黄瓜(叫货),箱
679,2019-11-11,3006683,杭州配送中心,1298,4.534668721109399,-0.9895386676397518,1000255,1000008,杭州配送中心商品仓,小黄瓜(叫货),箱
678,2019-11-10,3006683,杭州配送中心,1027,4.506329113924051,-0.9926338783610179,1000255,1000008,杭州配送中心商品仓,小黄瓜(叫货),箱
677,2019-11-09,3006683,杭州配送中心,865,4.350289017341041,-0.9939275484751389,1000255,1000008,杭州配送中心商品仓,小黄瓜(叫货),箱
676,2019-11-08,3006683,杭州配送中心,913,4.87842278203724,-0.9935096550379653,1000255,1000008,杭州配送中心商品仓,小黄瓜(叫货),箱
675,2019-11-07,3006683,杭州配送中心,774,4.474160206718346,-0.9945153985733638,1000255,1000008,杭州配送中心商品仓,小黄瓜(叫货),箱
674,2019-11-06,3006683,杭州配送中心,928,4.490301724137931,-0.9934276759426346,1000255,1000008,杭州配送中心商品仓,小黄瓜(叫货),箱
673,2019-11-05,3006683,杭州配送中心,794,4.486146095717884,-0.9944124248316679,1000255,1000008,杭州配送中心商品仓,小黄瓜(叫货),箱
