,Sku_code,ORDER_SUM,rate,Munit
0,01270,88.0,8,箱
1,07600,3355.0,29,箱
2,73067,1900.0,1,箱
3,13000,1482.0,25,箱
4,40046,36.0,12,箱
5,13020,7634.0,23,箱
6,40035,180.0,12,箱
7,40036,240.0,12,箱
8,40470,110.0,10,箱
9,43080,2453.0,11,箱
10,65260,142.0,2,箱
11,65780,90.0,30,箱
12,08340,120.0,20,箱
13,10500,350.0,140,个
14,79204,2.0,1,箱
15,79210,3.0,1,箱
16,79359,1.0,1,箱
17,80149,3.0,1,箱
18,72043,2.0,1,箱
19,79449,390.0,1,箱
20,73073,114.0,1,箱
21,73129,4800.0,1,箱
22,80259,1400.0,50,箱
23,73010,15.0,1,箱
24,77105,20.0,1,箱
25,79205,1.0,1,箱
26,79156,10.0,1,箱
27,04300,1513.0,18,箱
28,06290,170.0,11,箱
29,07310,7512.5,13,箱
30,07540,7476.0,21,箱
31,07970,48.0,12,箱
32,40037,132.0,12,箱
33,42187,564.0,1,箱
34,08660,5150.0,25,箱
35,72006,25.0,1,箱
36,76016,260.0,1,箱
37,16010,13374.0,18,斤
38,40067,216.0,12,箱
39,40069,740.0,20,箱
40,40480,110.0,10,箱
41,41126,204.0,12,箱
42,43030,180.0,10,箱
43,43155,84.0,12,箱
44,43410,84.0,12,箱
45,67000,145.0,7,箱
46,67207,636.0,12,箱
47,10510,168.0,55,只
48,11860,105.0,15,箱
49,11750,640.0,10,箱
50,11810,615.0,6,箱
51,11850,225.0,1,箱
52,79036,10250.0,1,箱
53,72030,60.0,1,箱
54,73090,200.0,1,箱
55,71462,50.0,1,箱
56,71447,30.0,1,箱
57,76043,17.0,1,箱
58,74022,12.0,1,箱
59,76042,1.0,1,箱
60,79190,7.0,1,箱
61,73122,5.0,1,箱
62,04210,250.0,9,斤
63,06000,70.0,8,箱
64,06390,2530.0,10,箱
65,05590,2920.0,33,箱
66,01020,192.0,20,箱
67,14190,1680.0,15,箱
68,13160,4760.0,20,箱
69,16040,6183.0,27,斤
70,30200,3744.0,36,箱
71,40370,368.0,15,箱
72,40670,156.0,12,箱
73,65180,1080.0,15,箱
74,43490,60.0,12,箱
75,65550,3318.0,7,箱
76,65730,147.0,24,箱
77,65770,2910.0,25,箱
78,12130,430.0,5,斤
79,08460,2900.0,28,箱
80,10130,114.0,14,箱
81,12010,400.0,10,根
82,74021,7.0,1,箱
83,79226,10.0,1,箱
84,80244,36.0,1,箱
85,80162,800.0,50,箱
86,78889,62.0,1,箱
87,71000,250.0,1,箱
88,77102,220.0,1,箱
89,76020,8.0,1,箱
90,73078,200.0,1,箱
91,71009,10.0,1,箱
92,79084,1.0,1,箱
93,77340,30.0,1,箱
94,79242,70.0,1,箱
95,79385,20.0,1,箱
96,79428,20.0,1,箱
97,73061,200.0,1,箱
98,71105,20.0,1,箱
99,73101,0.0,1,箱
100,01310,4690.0,14,箱
101,05180,4860.0,15,箱
102,07220,270.0,12,箱
103,07290,250.0,35,箱
104,07390,145.2,10,箱
105,43009,160.0,1,箱
106,13050,1165.5,12,箱
107,40054,560.0,16,箱
108,40056,80.0,4,箱
109,40073,240.0,16,箱
110,40387,228.0,6,箱
111,40680,144.0,12,箱
112,42177,1660.0,20,箱
113,43046,700.0,1,箱
114,11630,1125.0,30,箱
115,10890,1122.0,26,箱
116,11670,1840.0,10,箱
117,11710,1800.0,12,箱
118,12030,296.0,18,斤
119,12190,100.0,5,斤
120,12630,517.0,13,斤
121,79208,1.0,1,箱
122,77041,37.0,1,箱
123,82035,13.0,1,箱
124,73022,7900.0,1,箱
125,72042,98.0,1,箱
126,74030,3.0,1,箱
127,74015,12.0,1,箱
128,74019,100.0,1,箱
129,73076,500.0,1,箱
130,73161,800.0,1,箱
131,79001,45.0,1,箱
132,76017,12.0,1,箱
133,77342,30.0,1,箱
134,77410,10.0,1,箱
135,79282,2.0,1,箱
136,79292,10.0,1,箱
137,82034,15.0,1,箱
138,75003,2.0,1,箱
139,79300,10.0,1,箱
140,01160,360.8,17,箱
141,03090,4068.0,12,盒
142,07190,660.0,22,箱
143,07940,1938.0,18,箱
144,11840,225.0,18,箱
145,40053,40.0,20,箱
146,40047,36.0,12,箱
147,40066,264.0,12,箱
148,40137,6240.0,12,箱
149,11440,2438.0,20,箱
150,73059,134.0,1,箱
151,76022,1.0,1,箱
152,73021,5400.0,1,箱
153,73119,2.0,1,箱
154,80131,7100.0,1,箱
155,79470,10100.0,1,箱
156,76024,29.0,1,箱
157,73054,370.0,1,箱
158,77338,25.0,1,箱
159,73057,100.0,1,箱
160,79443,7.0,1,箱
161,79471,1400.0,200,箱
162,80003,2.0,1,箱
163,76006,1.0,1,箱
164,03080,804.0,12,箱
165,03180,432.0,12,箱
166,06740,1130.0,20,箱
167,06860,0.0,7,箱
168,07270,336.0,12,箱
169,07350,2691.0,9,箱
170,06790,4050.0,18,箱
171,01070,396.0,18,箱
172,40045,110.0,10,箱
173,42220,3312.0,24,箱
174,43170,1920.0,30,箱
175,65230,1232.0,15,箱
176,65600,2054.0,20,斤
177,07470,4480.0,20,箱
178,10040,588.0,29,箱
179,05020,10860.0,26,箱
180,07070,2970.0,33,箱
181,10840,1695.0,20,斤
182,11690,160.0,15,箱
183,12050,1458.0,10,箱
184,12240,2030.0,13,箱
185,12390,40.0,12,只
186,74075,480.0,1,箱
187,71441,20.0,1,箱
188,71448,140.0,1,箱
189,73006,160.0,1,箱
190,79314,6.0,1,箱
191,76019,1.0,1,箱
192,77361,20.0,1,箱
193,80188,10.0,1,箱
194,79042,1.0,1,箱
195,79372,50.0,50,箱
196,79313,30.0,1,箱
197,05200,21540.0,18,箱
198,06710,1010.0,38,箱
199,06850,510.0,40,斤
200,07340,72.0,8,箱
201,07430,36.0,20,箱
202,07950,2102.5,14,箱
203,07640,860.0,10,箱
204,40135,9576.0,12,箱
205,40057,60.0,12,箱
206,40068,684.0,18,箱
207,42180,100.0,1,箱
208,43042,602.0,1,箱
209,43330,123.0,3,箱
210,43360,156.0,3,箱
211,43430,348.0,12,箱
212,08330,340.0,20,箱
213,08020,37212.0,30,箱
214,08050,555.0,20,箱
215,08180,9216.0,36,箱
216,08790,2775.0,20,箱
217,08890,3542.0,25,箱
218,10010,756.0,18,箱
219,10060,820.0,20,箱
220,10490,780.0,12,箱
221,11600,5174.0,26,箱
222,73007,102.0,1,箱
223,71434,270.0,1,箱
224,71417,610.0,1,箱
225,77120,1.0,1,箱
226,79077,18000.0,1,箱
227,76027,3.0,1,箱
228,73016,2.0,1,箱
229,73146,300.0,1,箱
230,73033,9000.0,1,箱
231,73046,3500.0,1,箱
232,78888,12.0,1,箱
233,71436,40.0,1,箱
234,80033,1.0,1,箱
235,80039,2.0,1,箱
236,74024,5.0,1,箱
237,73145,50.0,1,箱
238,71433,50.0,1,箱
239,77047,150.0,1,箱
240,72031,20.0,1,箱
241,71443,60.0,1,箱
242,80137,1.0,1,箱
243,04170,4509.0,27,箱
244,06120,220.0,16,箱
245,07300,940.0,10,箱
246,07440,266.0,15,斤
247,79211,4.0,1,箱
248,40044,150.0,10,箱
249,40055,1592.0,8,箱
250,40065,168.0,12,箱
251,43420,540.0,12,箱
252,44203,48.0,12,箱
253,67206,560.0,10,箱
254,08950,340.0,1,箱
255,11620,7450.0,30,箱
256,11650,1648.5,10,箱
257,77121,31.0,1,箱
258,73148,120.0,1,箱
259,79452,20.0,1,箱
260,77030,147.0,1,箱
261,73011,5700.0,1,箱
262,77377,17.0,1,箱
263,73091,100.0,1,箱
264,75005,4.0,1,箱
265,77330,30.0,1,箱
266,76044,5.0,1,箱
267,79154,6.0,1,箱
268,79202,1.0,1,箱
269,77363,20.0,1,箱
270,76037,10.0,1,箱
271,78986,5.0,1,箱
272,78987,5.0,1,箱
273,77034,100.0,1,箱
