,Inventory,ORDER_SUM,Stock,goods_code,ito,ito_day,stockout,time,产品定位,商品价值损耗成本,商品名称,库存管理成本,日期,箱价,缺货成本,缺货率,订货仓库,订货箱数,资金占用成本,销售额
0,138.0,625.0,763.0,07540,0.6936736958934517,1.4416,0.0,2019-12-01,民生吸客,941.85,优选泰国桂圆,61.49325,2019-12-01,136.5,0.0,0.0,102.0,,18950.022,85312.5
1,916.0,663.0,1579.0,07310,0.2657314629258517,3.7631975867269984,0.0,2019-12-01,民生吸客,6183.0,金火龙果,168.4125,2019-12-01,135.0,0.0,0.0,102.0,,124401.96,89505.0
2,0.0,506.0,506.0,11620,1.0,1.0,-70.0,2019-12-01,民生吸客,0.0,带叶鲜橙（小）,22.77,2019-12-01,90.0,6741.0,0.12152777777777778,102.0,,0.0,45540.0
3,313.0,126.0,439.0,07350,0.1675531914893617,5.968253968253968,0.0,2019-12-01,民生吸客,1095.8129999999999,泰国椰青,26.327519999999996,2019-12-01,70.02,0.0,0.0,102.0,,22047.75756,8822.519999999999
4,383.0,96.0,479.0,13160,0.11136890951276102,8.979166666666668,0.0,2019-12-01,核心主推,2106.5,南水梨,47.410000000000004,2019-12-01,110.0,0.0,0.0,102.0,,42382.78,10560.0
5,38.0,162.0,200.0,06390,0.680672268907563,1.4691358024691357,0.0,2019-12-01,核心主推,161.5,金边香芒,10.115,2019-12-01,85.0,0.0,0.0,102.0,,3249.38,13770.0
6,4863.0,1025.0,5888.0,05200,0.09533996837503488,10.48878048780488,0.0,2019-12-01,核心主推,17506.8,沙洲绿宝瓜,387.036,2019-12-01,72.0,0.0,0.0,102.0,,352236.816,73800.0
7,858.0,251.0,1109.0,01310,0.12760549059481444,7.836653386454183,0.0,2019-12-01,核心主推,9266.4,克伦森无籽红提,212.436,2019-12-01,216.0,0.0,0.0,102.0,,186439.968,54216.0
8,21.0,191.0,212.0,05020,0.8197424892703863,1.219895287958115,0.0,2019-12-01,核心主推,110.25,鲜丰玉麒麟,12.2325,2019-12-01,105.0,0.0,0.0,102.0,,2218.23,20055.0
9,7.0,33.0,40.0,06850,0.7021276595744681,1.4242424242424243,0.0,2019-12-01,差异单品,6.125,百香果（盒）,0.41125,2019-12-01,17.5,0.0,0.0,102.0,,123.235,577.5
10,138.0,41.0,179.0,65770,0.12933753943217666,7.7317073170731705,0.0,2019-12-01,差异单品,776.25,冰糖橙,17.83125,2019-12-01,112.5,0.0,0.0,102.0,,15618.15,4612.5
11,50.0,72.0,122.0,07600,0.4186046511627907,2.388888888888889,0.0,2019-12-01,差异单品,275.0,菲律宾凤梨,9.46,2019-12-01,110.0,0.0,0.0,102.0,,5533.0,7920.0
12,9.0,11.0,20.0,12190,0.3793103448275862,2.6363636363636367,0.0,2019-12-01,差异单品,31.5,龙珠果,1.0150000000000001,2019-12-01,70.0,0.0,0.0,102.0,,633.78,770.0
13,7.0,6.0,13.0,01270,0.3,3.3333333333333335,0.0,2019-12-01,差异单品,19.264,冰糖木瓜,0.5504,2019-12-01,55.04,0.0,0.0,102.0,,387.59168,330.24
14,7.0,8.0,15.0,07340,0.36363636363636365,2.75,0.0,2019-12-01,差异单品,31.5,火参果,0.99,2019-12-01,90.0,0.0,0.0,102.0,,633.78,720.0
15,156.0,35.0,191.0,07300,0.10086455331412104,9.914285714285713,0.0,2019-12-01,差异单品,780.0,蜜宝红心火龙果,17.35,2019-12-01,100.0,0.0,0.0,102.0,,15693.6,3500.0
16,93.0,67.0,160.0,11650,0.2648221343873518,3.776119402985074,0.0,2019-12-01,差异单品,292.95,优选香梨,7.9695,2019-12-01,63.0,0.0,0.0,102.0,,5894.154,4221.0
17,59.0,162.0,221.0,07950,0.5785714285714286,1.728395061728395,0.0,2019-12-01,差异单品,825.9852500000002,金尧榴莲,39.1993,2019-12-01,279.995,0.0,0.0,102.0,,16618.82323,45359.19
18,218.0,76.0,294.0,11710,0.1484375,6.7368421052631575,0.0,2019-12-01,差异单品,1199.436,甄选蓝莓,28.17024,2019-12-01,110.03999999999999,0.0,0.0,102.0,,24132.652319999997,8363.039999999999
19,120.0,33.0,153.0,12130,0.12087912087912088,8.272727272727273,0.0,2019-12-01,差异单品,228.0,原种红玉木瓜,5.187,2019-12-01,38.0,0.0,0.0,102.0,,4587.36,1254.0
20,9.0,10.0,19.0,07220,0.35714285714285715,2.8,0.0,2019-12-01,差异单品,49.491,台湾释迦,1.5397199999999998,2019-12-01,109.97999999999999,0.0,0.0,102.0,,995.75892,1099.8
21,266.0,107.0,373.0,12240,0.1674491392801252,5.97196261682243,0.0,2019-12-01,差异单品,1117.2,珍珠牛奶枣,26.838,2019-12-01,84.0,0.0,0.0,102.0,,22478.064,8988.0
0,456.0,206.0,662.0,07540,0.18425760286225404,5.427184466019417,0.0,2019-12-02,民生吸客,3112.2000000000003,优选泰国桂圆,76.3035,2019-12-02,136.5,0.0,0.0,102.0,,62617.464,28119.0
1,315.0,603.0,918.0,07310,0.48905109489051096,2.044776119402985,0.0,2019-12-02,民生吸客,2126.25,金火龙果,83.2275,2019-12-02,135.0,0.0,0.0,102.0,,42780.15,81405.0
2,726.0,324.0,1050.0,11620,0.18243243243243243,5.481481481481482,0.0,2019-12-02,民生吸客,3267.0,带叶鲜橙（小）,79.92,2019-12-02,90.0,0.0,0.0,102.0,,65732.04,29160.0
3,170.0,135.0,305.0,07350,0.28421052631578947,3.5185185185185186,0.0,2019-12-02,民生吸客,595.17,泰国椰青,16.62975,2019-12-02,70.02,0.0,0.0,102.0,,11974.8204,9452.699999999999
4,1075.0,259.0,1334.0,13160,0.10751349107513491,9.301158301158301,0.0,2019-12-02,核心主推,5912.5,南水梨,132.495,2019-12-02,110.0,0.0,0.0,102.0,,118959.5,28490.0
5,129.0,158.0,287.0,06390,0.3798076923076923,2.6329113924050636,0.0,2019-12-02,核心主推,548.25,金边香芒,17.68,2019-12-02,85.0,0.0,0.0,102.0,,11030.79,13430.0
6,7007.0,1243.0,8250.0,05200,0.08147080028839221,12.274336283185841,0.0,2019-12-02,核心主推,25225.2,沙洲绿宝瓜,549.2520000000001,2019-12-02,72.0,0.0,0.0,102.0,,507531.024,89496.0
7,620.0,238.0,858.0,01310,0.16102841677943167,6.2100840336134455,0.0,2019-12-02,核心主推,6696.0,克伦森无籽红提,159.624,2019-12-02,216.0,0.0,0.0,102.0,,134723.52,51408.0
8,137.0,182.0,319.0,05020,0.3991228070175439,2.5054945054945055,0.0,2019-12-02,核心主推,719.25,鲜丰玉麒麟,23.94,2019-12-02,105.0,0.0,0.0,102.0,,14471.31,19110.0
9,29.0,30.0,59.0,06850,0.3409090909090909,2.9333333333333336,0.0,2019-12-02,差异单品,25.375,百香果（盒）,0.77,2019-12-02,17.5,0.0,0.0,102.0,,510.545,525.0
10,95.0,43.0,138.0,65770,0.18454935622317598,5.4186046511627906,0.0,2019-12-02,差异单品,534.375,冰糖橙,13.106250000000001,2019-12-02,112.5,0.0,0.0,102.0,,10751.625,4837.5
11,195.0,70.0,265.0,07600,0.15217391304347827,6.571428571428571,0.0,2019-12-02,差异单品,1072.5,菲律宾凤梨,25.3,2019-12-02,110.0,0.0,0.0,102.0,,21578.7,7700.0
12,7.0,12.0,19.0,12190,0.46153846153846156,2.1666666666666665,0.0,2019-12-02,差异单品,24.5,龙珠果,0.91,2019-12-02,70.0,0.0,0.0,102.0,,492.94,840.0
13,21.0,6.0,27.0,01270,0.125,8.0,0.0,2019-12-02,差异单品,57.792,冰糖木瓜,1.3209600000000001,2019-12-02,55.04,0.0,0.0,102.0,,1162.77504,330.24
14,11.0,2.0,13.0,07340,0.08333333333333333,12.0,0.0,2019-12-02,差异单品,49.5,火参果,1.08,2019-12-02,90.0,0.0,0.0,102.0,,995.94,180.0
15,120.0,36.0,156.0,07300,0.13043478260869565,7.666666666666667,0.0,2019-12-02,差异单品,600.0,蜜宝红心火龙果,13.8,2019-12-02,100.0,0.0,0.0,102.0,,12072.0,3600.0
16,171.0,72.0,243.0,11650,0.17391304347826086,5.75,0.0,2019-12-02,差异单品,538.65,优选香梨,13.041,2019-12-02,63.0,0.0,0.0,102.0,,10837.638,4536.0
17,150.0,238.0,388.0,07950,0.4423791821561338,2.2605042016806722,0.0,2019-12-02,差异单品,2099.9625,金尧榴莲,75.318655,2019-12-02,279.995,0.0,0.0,102.0,,42251.2455,66638.81
18,141.0,72.0,213.0,11710,0.2033898305084746,4.916666666666666,0.0,2019-12-02,差异单品,775.782,甄选蓝莓,19.477079999999997,2019-12-02,110.03999999999999,0.0,0.0,102.0,,15608.733839999999,7922.879999999999
19,82.0,37.0,119.0,12130,0.18407960199004975,5.4324324324324325,0.0,2019-12-02,差异单品,155.8,原种红玉木瓜,3.819,2019-12-02,38.0,0.0,0.0,102.0,,3134.696,1406.0
20,26.0,23.0,49.0,07220,0.30666666666666664,3.2608695652173916,0.0,2019-12-02,差异单品,142.974,台湾释迦,4.12425,2019-12-02,109.97999999999999,0.0,0.0,102.0,,2876.6368799999996,2529.54
21,190.0,76.0,266.0,12240,0.16666666666666666,6.0,0.0,2019-12-02,差异单品,798.0,珍珠牛奶枣,19.152,2019-12-02,84.0,0.0,0.0,102.0,,16055.76,6384.0
0,0.0,451.0,451.0,07540,1.0,1.0,0.0,2019-12-03,民生吸客,0.0,优选泰国桂圆,30.78075,2019-12-03,136.5,0.0,0.0,102.0,,0.0,61561.5
1,742.0,572.0,1314.0,07310,0.2782101167315175,3.594405594405594,0.0,2019-12-03,民生吸客,5008.5,金火龙果,138.78,2019-12-03,135.0,0.0,0.0,102.0,,100771.02,77220.0
2,404.0,342.0,746.0,11620,0.29739130434782607,3.3625730994152048,0.0,2019-12-03,民生吸客,1818.0,带叶鲜橙（小）,51.75,2019-12-03,90.0,0.0,0.0,102.0,,36578.16,30780.0
3,77.0,163.0,240.0,07350,0.5141955835962145,1.9447852760736195,0.0,2019-12-03,民生吸客,269.577,泰国椰青,11.09817,2019-12-03,70.02,0.0,0.0,102.0,,5423.88924,11413.26
4,882.0,59.0,941.0,13160,0.03236423477783873,30.89830508474576,0.0,2019-12-03,核心主推,4851.0,南水梨,100.265,2019-12-03,110.0,0.0,0.0,102.0,,97602.12,6490.0
5,7.0,120.0,127.0,06390,0.8955223880597015,1.1166666666666667,0.0,2019-12-03,核心主推,29.75,金边香芒,5.695,2019-12-03,85.0,0.0,0.0,102.0,,598.57,10200.0
6,6008.0,1092.0,7100.0,05200,0.08330790357033872,12.003663003663004,0.0,2019-12-03,核心主推,21628.800000000003,沙洲绿宝瓜,471.88800000000003,2019-12-03,72.0,0.0,0.0,102.0,,435171.456,78624.0
7,2082.0,247.0,2329.0,01310,0.05599637270460213,17.858299595141702,0.0,2019-12-03,核心主推,22485.600000000002,克伦森无籽红提,476.38800000000003,2019-12-03,216.0,0.0,0.0,102.0,,452410.272,53352.0
8,131.0,269.0,400.0,05020,0.5065913370998116,1.9739776951672865,0.0,2019-12-03,核心主推,687.75,鲜丰玉麒麟,27.8775,2019-12-03,105.0,0.0,0.0,102.0,,13837.53,28245.0
9,32.0,32.0,64.0,06850,0.3333333333333333,3.0,0.0,2019-12-03,差异单品,28.0,百香果（盒）,0.84,2019-12-03,17.5,0.0,0.0,102.0,,563.36,560.0
10,59.0,36.0,95.0,65770,0.23376623376623376,4.277777777777778,0.0,2019-12-03,差异单品,331.875,冰糖橙,8.6625,2019-12-03,112.5,0.0,0.0,102.0,,6677.325,4050.0
11,385.0,75.0,460.0,07600,0.08875739644970414,11.266666666666667,0.0,2019-12-03,差异单品,2117.5,菲律宾凤梨,46.475,2019-12-03,110.0,0.0,0.0,102.0,,42604.1,8250.0
12,9.0,9.0,18.0,12190,0.3333333333333333,3.0,0.0,2019-12-03,差异单品,31.5,龙珠果,0.9450000000000001,2019-12-03,70.0,0.0,0.0,102.0,,633.78,630.0
13,28.0,3.0,31.0,01270,0.05084745762711865,19.666666666666664,0.0,2019-12-03,差异单品,77.056,冰糖木瓜,1.62368,2019-12-03,55.04,0.0,0.0,102.0,,1550.36672,165.12
14,7.0,4.0,11.0,07340,0.2222222222222222,4.5,0.0,2019-12-03,差异单品,31.5,火参果,0.81,2019-12-03,90.0,0.0,0.0,102.0,,633.78,360.0
15,69.0,51.0,120.0,07300,0.2698412698412698,3.7058823529411766,0.0,2019-12-03,差异单品,345.0,蜜宝红心火龙果,9.450000000000001,2019-12-03,100.0,0.0,0.0,102.0,,6941.4,5100.0
16,117.0,53.0,170.0,11650,0.18466898954703834,5.415094339622641,0.0,2019-12-03,差异单品,368.55,优选香梨,9.0405,2019-12-03,63.0,0.0,0.0,102.0,,7415.226,3339.0
17,206.0,140.0,346.0,07950,0.2536231884057971,3.9428571428571426,0.0,2019-12-03,差异单品,2883.9485000000004,金尧榴莲,77.27862,2019-12-03,279.995,0.0,0.0,102.0,,58025.04382,39199.3
18,78.0,67.0,145.0,11710,0.3004484304932735,3.328358208955224,0.0,2019-12-03,差异单品,429.15599999999995,甄选蓝莓,12.269459999999999,2019-12-03,110.03999999999999,0.0,0.0,102.0,,8634.618719999999,7372.679999999999
19,48.0,34.0,82.0,12130,0.26153846153846155,3.8235294117647056,0.0,2019-12-03,差异单品,91.2,原种红玉木瓜,2.47,2019-12-03,38.0,0.0,0.0,102.0,,1834.944,1292.0
20,2.0,19.0,21.0,07220,0.8260869565217391,1.2105263157894737,0.0,2019-12-03,差异单品,10.998,台湾释迦,1.26477,2019-12-03,109.97999999999999,0.0,0.0,102.0,,221.27975999999998,2089.62
21,333.0,90.0,423.0,12240,0.11904761904761904,8.4,0.0,2019-12-03,差异单品,1398.6000000000001,珍珠牛奶枣,31.752,2019-12-03,84.0,0.0,0.0,102.0,,28139.832,7560.0
0,359.0,141.0,500.0,07540,0.16414435389988358,6.092198581560284,0.0,2019-12-04,民生吸客,2450.175,优选泰国桂圆,58.62675,2019-12-04,136.5,0.0,0.0,102.0,,49297.521,19246.5
1,620.0,583.0,1203.0,07310,0.31980252331321996,3.1269296740994856,0.0,2019-12-04,民生吸客,4185.0,金火龙果,123.05250000000001,2019-12-04,135.0,0.0,0.0,102.0,,84202.2,78705.0
2,194.0,110.0,304.0,11620,0.22088353413654618,4.527272727272727,0.0,2019-12-04,民生吸客,873.0,带叶鲜橙（小）,22.41,2019-12-04,90.0,0.0,0.0,102.0,,17564.76,9900.0
3,51.0,162.0,213.0,07350,0.6136363636363636,1.6296296296296295,0.0,2019-12-04,民生吸客,178.55100000000002,泰国椰青,9.24264,2019-12-04,70.02,0.0,0.0,102.0,,3592.44612,11343.24
4,756.0,76.0,832.0,13160,0.04785894206549118,20.894736842105264,0.0,2019-12-04,核心主推,4158.0,南水梨,87.34,2019-12-04,110.0,0.0,0.0,102.0,,83658.96,8360.0
5,1.0,150.0,151.0,06390,0.9868421052631579,1.0133333333333334,0.0,2019-12-04,核心主推,4.25,金边香芒,6.46,2019-12-04,85.0,0.0,0.0,102.0,,85.51,12750.0
6,5175.0,1177.0,6352.0,05200,0.10210809404007981,9.793542905692439,0.0,2019-12-04,核心主推,18630.0,沙洲绿宝瓜,414.97200000000004,2019-12-04,72.0,0.0,0.0,102.0,,374835.6,84744.0
7,2396.0,247.0,2643.0,01310,0.04901766223457035,20.40080971659919,0.0,2019-12-04,核心主推,25876.800000000003,克伦森无籽红提,544.212,2019-12-04,216.0,0.0,0.0,102.0,,520641.216,53352.0
8,274.0,255.0,529.0,05020,0.3175591531755915,3.149019607843137,0.0,2019-12-04,核心主推,1438.5,鲜丰玉麒麟,42.1575,2019-12-04,105.0,0.0,0.0,102.0,,28942.62,26775.0
9,5.0,27.0,32.0,06850,0.7297297297297297,1.3703703703703705,0.0,2019-12-04,差异单品,4.375,百香果（盒）,0.32375,2019-12-04,17.5,0.0,0.0,102.0,,88.025,472.5
10,115.0,34.0,149.0,65770,0.12878787878787878,7.764705882352941,0.0,2019-12-04,差异单品,646.875,冰糖橙,14.85,2019-12-04,112.5,0.0,0.0,102.0,,13015.125,3825.0
11,330.0,77.0,407.0,07600,0.1044776119402985,9.571428571428571,0.0,2019-12-04,差异单品,1815.0,菲律宾凤梨,40.535000000000004,2019-12-04,110.0,0.0,0.0,102.0,,36517.8,8470.0
12,9.0,13.0,22.0,12190,0.41935483870967744,2.3846153846153846,0.0,2019-12-04,差异单品,31.5,龙珠果,1.085,2019-12-04,70.0,0.0,0.0,102.0,,633.78,910.0
13,22.0,6.0,28.0,01270,0.12,8.333333333333334,0.0,2019-12-04,差异单品,60.544,冰糖木瓜,1.3760000000000001,2019-12-04,55.04,0.0,0.0,102.0,,1218.14528,330.24
14,3.0,4.0,7.0,07340,0.4,2.5,0.0,2019-12-04,差异单品,13.5,火参果,0.45,2019-12-04,90.0,0.0,0.0,102.0,,271.62,360.0
15,16.0,53.0,69.0,07300,0.6235294117647059,1.6037735849056605,0.0,2019-12-04,差异单品,80.0,蜜宝红心火龙果,4.25,2019-12-04,100.0,0.0,0.0,102.0,,1609.6,5300.0
16,52.0,65.0,117.0,11650,0.38461538461538464,2.5999999999999996,0.0,2019-12-04,差异单品,163.8,优选香梨,5.3235,2019-12-04,63.0,0.0,0.0,102.0,,3295.656,4095.0
17,151.0,197.0,348.0,07950,0.39478957915831664,2.532994923857868,0.0,2019-12-04,差异单品,2113.96225,金尧榴莲,69.85875250000001,2019-12-04,279.995,0.0,0.0,102.0,,42532.920470000005,55159.015
18,18.0,74.0,92.0,11710,0.6727272727272727,1.4864864864864864,0.0,2019-12-04,差异单品,99.036,甄选蓝莓,6.0522,2019-12-04,110.03999999999999,0.0,0.0,102.0,,1992.60432,8142.959999999999
19,62.0,30.0,92.0,12130,0.19480519480519481,5.133333333333333,0.0,2019-12-04,差异单品,117.80000000000001,原种红玉木瓜,2.926,2019-12-04,38.0,0.0,0.0,102.0,,2370.136,1140.0
20,15.0,51.0,66.0,07220,0.6296296296296297,1.588235294117647,0.0,2019-12-04,差异单品,82.485,台湾释迦,4.45419,2019-12-04,109.97999999999999,0.0,0.0,102.0,,1659.5982,5608.98
21,397.0,109.0,506.0,12240,0.12070874861572536,8.284403669724771,0.0,2019-12-04,差异单品,1667.4,珍珠牛奶枣,37.926,2019-12-04,84.0,0.0,0.0,102.0,,33548.088,9156.0
0,108.0,166.0,274.0,07540,0.43455497382198954,2.301204819277108,0.0,2019-12-05,民生吸客,737.1,优选泰国桂圆,26.0715,2019-12-05,136.5,0.0,0.0,102.0,,14830.452,22659.0
1,24.0,587.0,611.0,07310,0.9244094488188976,1.081771720613288,0.0,2019-12-05,民生吸客,162.0,金火龙果,42.862500000000004,2019-12-05,135.0,0.0,0.0,102.0,,3259.44,79245.0
2,120.0,92.0,212.0,11620,0.27710843373493976,3.608695652173913,0.0,2019-12-05,民生吸客,540.0,带叶鲜橙（小）,14.94,2019-12-05,90.0,0.0,0.0,102.0,,10864.8,8280.0
3,278.0,208.0,486.0,07350,0.27225130890052357,3.673076923076923,0.0,2019-12-05,民生吸客,973.2779999999999,泰国椰青,26.74764,2019-12-05,70.02,0.0,0.0,102.0,,19582.353359999997,14564.16
4,443.0,96.0,539.0,13160,0.09775967413441955,10.229166666666666,0.0,2019-12-05,核心主推,2436.5,南水梨,54.01,2019-12-05,110.0,0.0,0.0,102.0,,49022.38,10560.0
5,2.0,153.0,155.0,06390,0.9745222929936306,1.026143790849673,0.0,2019-12-05,核心主推,8.5,金边香芒,6.6725,2019-12-05,85.0,0.0,0.0,102.0,,171.02,13005.0
6,3665.0,1367.0,5032.0,05200,0.1571806370012648,6.362106803218727,0.0,2019-12-05,核心主推,13194.0,沙洲绿宝瓜,313.092,2019-12-05,72.0,0.0,0.0,102.0,,265463.28,98424.0
7,820.0,313.0,1133.0,01310,0.16026625704045058,6.239616613418531,0.0,2019-12-05,核心主推,8856.0,克伦森无籽红提,210.924,2019-12-05,216.0,0.0,0.0,102.0,,178182.72,67608.0
8,145.0,194.0,339.0,05020,0.40082644628099173,2.4948453608247423,0.0,2019-12-05,核心主推,761.25,鲜丰玉麒麟,25.41,2019-12-05,105.0,0.0,0.0,102.0,,15316.35,20370.0
9,36.0,22.0,58.0,06850,0.23404255319148937,4.2727272727272725,0.0,2019-12-05,差异单品,31.5,百香果（盒）,0.8225,2019-12-05,17.5,0.0,0.0,102.0,,633.78,385.0
10,68.0,44.0,112.0,65770,0.24444444444444444,4.090909090909091,0.0,2019-12-05,差异单品,382.5,冰糖橙,10.125,2019-12-05,112.5,0.0,0.0,102.0,,7695.9,4950.0
11,263.0,64.0,327.0,07600,0.10847457627118644,9.21875,0.0,2019-12-05,差异单品,1446.5,菲律宾凤梨,32.45,2019-12-05,110.0,0.0,0.0,102.0,,29103.58,7040.0
12,8.0,13.0,21.0,12190,0.4482758620689655,2.230769230769231,0.0,2019-12-05,差异单品,28.0,龙珠果,1.0150000000000001,2019-12-05,70.0,0.0,0.0,102.0,,563.36,910.0
13,21.0,1.0,22.0,01270,0.023255813953488372,43.0,0.0,2019-12-05,差异单品,57.792,冰糖木瓜,1.18336,2019-12-05,55.04,0.0,0.0,102.0,,1162.77504,55.04
14,9.0,4.0,13.0,07340,0.18181818181818182,5.5,0.0,2019-12-05,差异单品,40.5,火参果,0.99,2019-12-05,90.0,0.0,0.0,102.0,,814.86,360.0
15,94.0,55.0,149.0,07300,0.22633744855967078,4.418181818181818,0.0,2019-12-05,差异单品,470.0,蜜宝红心火龙果,12.15,2019-12-05,100.0,0.0,0.0,102.0,,9456.4,5500.0
16,1397.0,89.0,1486.0,11650,0.030870620881026708,32.39325842696629,0.0,2019-12-05,差异单品,4400.55,优选香梨,90.8145,2019-12-05,63.0,0.0,0.0,102.0,,88539.066,5607.0
17,54.0,214.0,268.0,07950,0.6645962732919255,1.5046728971962615,0.0,2019-12-05,差异单品,755.9865,金尧榴莲,45.079195,2019-12-05,279.995,0.0,0.0,102.0,,15210.44838,59918.93
18,35.0,118.0,153.0,11710,0.6276595744680851,1.593220338983051,0.0,2019-12-05,差异单品,192.57,甄选蓝莓,10.343759999999998,2019-12-05,110.03999999999999,0.0,0.0,102.0,,3874.5083999999997,12984.72
19,70.0,41.0,111.0,12130,0.2265193370165746,4.414634146341463,0.0,2019-12-05,差异单品,133.0,原种红玉木瓜,3.439,2019-12-05,38.0,0.0,0.0,102.0,,2675.96,1558.0
20,8.0,52.0,60.0,07220,0.7647058823529411,1.3076923076923077,0.0,2019-12-05,差异单品,43.992,台湾释迦,3.7393199999999998,2019-12-05,109.97999999999999,0.0,0.0,102.0,,885.1190399999999,5718.959999999999
21,329.0,113.0,442.0,12240,0.14656290531776914,6.823008849557522,0.0,2019-12-05,差异单品,1381.8000000000002,珍珠牛奶枣,32.382,2019-12-05,84.0,0.0,0.0,102.0,,27801.816,9492.0
0,156.0,161.0,317.0,07540,0.3403805496828753,2.9378881987577636,0.0,2019-12-06,,1064.7,优选泰国桂圆,32.28225,2019-12-06,136.5,0.0,0.0,102.0,161.0,21421.764,21976.5
1,412.0,324.0,736.0,07310,0.28222996515679444,3.5432098765432096,0.0,2019-12-06,,2781.0,金火龙果,77.49,2019-12-06,135.0,0.0,0.0,102.0,324.0,55953.72,43740.0
2,239.0,80.0,319.0,11620,0.14336917562724014,6.9750000000000005,0.0,2019-12-06,,1075.5,带叶鲜橙（小）,25.11,2019-12-06,90.0,0.0,0.0,102.0,80.0,21639.06,7200.0
3,452.0,107.0,559.0,07350,0.10583580613254204,9.448598130841122,0.0,2019-12-06,,1582.452,泰国椰青,35.39511,2019-12-06,70.02,0.0,0.0,102.0,107.0,31838.93424,7492.139999999999
4,203.0,56.0,259.0,13160,0.12121212121212122,8.25,0.0,2019-12-06,,1116.5,南水梨,25.41,2019-12-06,110.0,0.0,0.0,102.0,56.0,22463.98,6160.0
5,123.0,101.0,224.0,06390,0.2910662824207493,3.4356435643564356,0.0,2019-12-06,,522.75,金边香芒,14.7475,2019-12-06,85.0,0.0,0.0,102.0,101.0,10517.73,8585.0
6,3106.0,711.0,3817.0,05200,0.10270114112379027,9.736990154711673,0.0,2019-12-06,,11181.6,沙洲绿宝瓜,249.228,2019-12-06,72.0,0.0,0.0,102.0,711.0,224973.792,51192.0
7,241.0,175.0,416.0,01310,0.2663622526636225,3.7542857142857144,0.0,2019-12-06,,2602.8,克伦森无籽红提,70.956,2019-12-06,216.0,0.0,0.0,102.0,175.0,52368.336,37800.0
