,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout
0,65550,樱桃小番茄,315,343,-28,-28
1,07540,优选泰国桂圆,246,254,-8,-8
2,07310,金火龙果,697,488,209,0
3,11620,带叶鲜橙（小）,286,105,181,0
4,11600,满山红富士（大）,117,117,0,0
5,16010,春蕉,1046,1491,-445,-445
6,16040,进口蕉,746,338,408,0
7,07350,泰国椰青,203,185,18,0
8,13160,南水梨,262,138,124,0
9,06390,金边香芒,191,149,42,0
10,05200,沙洲绿宝瓜,1408,1332,76,0
11,01310,克伦森无籽红提,341,302,39,0
12,08890,金香露蜜桔,235,116,119,0
13,05020,鲜丰玉麒麟,113,200,-87,-87
14,07640,智利车厘子J,403,90,313,0
15,06850,百香果（盒）,17,19,-2,-2
16,65770,冰糖橙,83,33,50,0
17,07600,菲律宾凤梨,120,86,34,0
18,12190,龙珠果,13,16,-3,-3
19,01270,冰糖木瓜,5,7,-2,-2
20,07340,火参果,4,3,1,0
21,07300,蜜宝红心火龙果,54,58,-4,-4
22,11650,优选香梨,83,77,6,0
23,07950,金尧榴莲,214,173,41,0
24,11710,甄选蓝莓,94,119,-25,-25
25,12130,原种红玉木瓜,54,32,22,0
26,07220,台湾释迦,38,36,2,0
27,12240,珍珠牛奶枣,122,120,2,0
