,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout,箱价,缺货率,资金占用成本,库存管理成本,商品价值损耗成本,缺货成本,销售额,ito,ito_day,time
0,7540,优选泰国桂圆,264.0,142.0,122.0,0.0,136.5,0.0,16752.918,26.3445,832.6500000000001,0.0,19383.0,0.36787564766839376,2.71830985915493,2019-12-20
1,7310,金火龙果,813.0,273.0,540.0,0.0,135.0,0.0,73337.4,91.3275,3645.0,0.0,36855.0,0.2017738359201774,4.956043956043956,2019-12-20
2,11620,带叶鲜橙（小）,128.0,128.0,0.0,-6.0,90.0,0.04477611940298507,0.0,5.76,0.0,577.8000000000001,11520.0,1.0,1.0,2019-12-20
3,7350,泰国椰青,112.0,95.0,17.0,0.0,70.02,0.0,1197.4820399999999,4.51629,59.516999999999996,0.0,6651.9,0.7364341085271318,1.3578947368421053,2019-12-20
4,13160,南水梨,181.0,65.0,116.0,0.0,110.0,0.0,12836.56,16.335,638.0,0.0,7150.0,0.21885521885521886,4.569230769230769,2019-12-20
5,6390,金边香芒,168.0,127.0,41.0,0.0,85.0,0.0,3505.91,8.8825,174.25,0.0,10795.0,0.6076555023923444,1.6456692913385829,2019-12-20
6,5200,沙洲绿宝瓜,944.0,759.0,185.0,0.0,72.0,0.0,13399.92,40.644,666.0,0.0,54648.0,0.6722763507528786,1.487483530961792,2019-12-20
7,1310,克伦森无籽红提,330.0,252.0,78.0,0.0,216.0,0.0,16949.088,44.064,842.4000000000001,0.0,54432.0,0.6176470588235294,1.619047619047619,2019-12-20
8,5020,鲜丰玉麒麟,170.0,164.0,6.0,0.0,105.0,0.0,633.78,9.24,31.5,0.0,17220.0,0.9318181818181818,1.0731707317073171,2019-12-20
9,6850,百香果（盒）,19.0,17.0,2.0,0.0,17.5,0.0,35.21,0.18375,1.75,0.0,297.5,0.8095238095238095,1.2352941176470589,2019-12-20
10,65770,冰糖橙,57.0,21.0,36.0,0.0,112.5,0.0,4074.3,5.23125,202.5,0.0,2362.5,0.22580645161290322,4.428571428571429,2019-12-20
11,7600,菲律宾凤梨,156.0,76.0,80.0,0.0,110.0,0.0,8852.8,12.98,440.0,0.0,8360.0,0.3220338983050847,3.105263157894737,2019-12-20
12,12190,龙珠果,18.0,12.0,6.0,0.0,70.0,0.0,422.52,0.84,21.0,0.0,840.0,0.5,2.0,2019-12-20
13,1270,冰糖木瓜,7.0,7.0,0.0,-1.0,55.04,0.125,0.0,0.19263999999999998,0.0,58.8928,385.28,1.0,1.0,2019-12-20
14,7340,火参果,5.0,4.0,1.0,0.0,90.0,0.0,90.54,0.27,4.5,0.0,360.0,0.6666666666666666,1.5,2019-12-20
15,7300,蜜宝红心火龙果,83.0,54.0,29.0,0.0,100.0,0.0,2917.4,5.6000000000000005,145.0,0.0,5400.0,0.48214285714285715,2.074074074074074,2019-12-20
16,11650,优选香梨,118.0,59.0,59.0,0.0,63.0,0.0,3739.302,5.5755,185.85000000000002,0.0,3717.0,0.3333333333333333,3.0,2019-12-20
17,7950,金尧榴莲,146.0,114.0,32.0,0.0,279.995,0.0,9013.599040000001,24.919555000000003,447.992,0.0,31919.43,0.6404494382022472,1.5614035087719298,2019-12-20
18,11710,甄选蓝莓,114.0,66.0,48.0,0.0,110.03999999999999,0.0,5313.61152,8.91324,264.096,0.0,7262.639999999999,0.4074074074074074,2.4545454545454546,2019-12-20
19,12130,原种红玉木瓜,64.0,26.0,38.0,0.0,38.0,0.0,1452.664,1.938,72.2,0.0,988.0,0.2549019607843137,3.9230769230769234,2019-12-20
20,7220,台湾释迦,20.0,20.0,0.0,-9.0,109.97999999999999,0.3103448275862069,0.0,1.0997999999999999,0.0,1059.1074,2199.6,1.0,1.0,2019-12-20
21,12240,珍珠牛奶枣,128.0,94.0,34.0,0.0,84.0,0.0,2873.136,6.804,142.8,0.0,7896.0,0.5802469135802469,1.7234042553191489,2019-12-20
