,产品定位,goods_code,商品名称,Stock,Inventory,日期,订货仓库,箱价,ORDER_SUM,stockout,缺货率,ito,ito_day,资金占用成本,库存管理成本,商品价值损耗成本,缺货成本,销售额,time
0,民生吸客,07540,优选泰国桂圆,500.0,359,2019-12-04,102.0,136.5,141.0,0,0,0.16414435389988358,6.092198581560284,49297.521,58.62675,2450.175,0,19246.5,2019-12-04
1,民生吸客,07310,金火龙果,1203.0,620,2019-12-04,102.0,135.0,583.0,0,0,0.31980252331321996,3.1269296740994856,84202.2,123.05250000000001,4185.0,0,78705.0,2019-12-04
2,民生吸客,11620,带叶鲜橙（小）,304.0,194,2019-12-04,102.0,90.0,110.0,0,0,0.22088353413654618,4.527272727272727,17564.76,22.41,873.0,0,9900.0,2019-12-04
3,民生吸客,07350,泰国椰青,213.0,51,2019-12-04,102.0,70.02,162.0,0,0,0.6136363636363636,1.6296296296296295,3592.44612,9.24264,178.55100000000002,0,11343.24,2019-12-04
4,核心主推,13160,南水梨,832.0,756,2019-12-04,102.0,110.0,76.0,0,0,0.04785894206549118,20.894736842105264,83658.96,87.34,4158.0,0,8360.0,2019-12-04
5,核心主推,06390,金边香芒,151.0,1,2019-12-04,102.0,85.0,150.0,0,0,0.9868421052631579,1.0133333333333334,85.51,6.46,4.25,0,12750.0,2019-12-04
6,核心主推,05200,沙洲绿宝瓜,6352.0,5175,2019-12-04,102.0,72.0,1177.0,0,0,0.10210809404007981,9.793542905692439,374835.6,414.97200000000004,18630.0,0,84744.0,2019-12-04
7,核心主推,01310,克伦森无籽红提,2643.0,2396,2019-12-04,102.0,216.0,247.0,0,0,0.04901766223457035,20.40080971659919,520641.216,544.212,25876.800000000003,0,53352.0,2019-12-04
8,核心主推,05020,鲜丰玉麒麟,529.0,274,2019-12-04,102.0,105.0,255.0,0,0,0.3175591531755915,3.149019607843137,28942.62,42.1575,1438.5,0,26775.0,2019-12-04
9,差异单品,06850,百香果（盒）,32.0,5,2019-12-04,102.0,17.5,27.0,0,0,0.7297297297297297,1.3703703703703705,88.025,0.32375,4.375,0,472.5,2019-12-04
10,差异单品,65770,冰糖橙,149.0,115,2019-12-04,102.0,112.5,34.0,0,0,0.12878787878787878,7.764705882352941,13015.125,14.85,646.875,0,3825.0,2019-12-04
11,差异单品,07600,菲律宾凤梨,407.0,330,2019-12-04,102.0,110.0,77.0,0,0,0.1044776119402985,9.571428571428571,36517.8,40.535000000000004,1815.0,0,8470.0,2019-12-04
12,差异单品,12190,龙珠果,22.0,9,2019-12-04,102.0,70.0,13.0,0,0,0.41935483870967744,2.3846153846153846,633.78,1.085,31.5,0,910.0,2019-12-04
13,差异单品,01270,冰糖木瓜,28.0,22,2019-12-04,102.0,55.04,6.0,0,0,0.12,8.333333333333334,1218.14528,1.3760000000000001,60.544,0,330.24,2019-12-04
14,差异单品,07340,火参果,7.0,3,2019-12-04,102.0,90.0,4.0,0,0,0.4,2.5,271.62,0.45,13.5,0,360.0,2019-12-04
15,差异单品,07300,蜜宝红心火龙果,69.0,16,2019-12-04,102.0,100.0,53.0,0,0,0.6235294117647059,1.6037735849056605,1609.6,4.25,80.0,0,5300.0,2019-12-04
16,差异单品,11650,优选香梨,117.0,52,2019-12-04,102.0,63.0,65.0,0,0,0.38461538461538464,2.5999999999999996,3295.656,5.3235,163.8,0,4095.0,2019-12-04
17,差异单品,07950,金尧榴莲,348.0,151,2019-12-04,102.0,279.995,197.0,0,0,0.39478957915831664,2.532994923857868,42532.920470000005,69.85875250000001,2113.96225,0,55159.015,2019-12-04
18,差异单品,11710,甄选蓝莓,92.0,18,2019-12-04,102.0,110.03999999999999,74.0,0,0,0.6727272727272727,1.4864864864864864,1992.60432,6.0522,99.036,0,8142.959999999999,2019-12-04
19,差异单品,12130,原种红玉木瓜,92.0,62,2019-12-04,102.0,38.0,30.0,0,0,0.19480519480519481,5.133333333333333,2370.136,2.926,117.80000000000001,0,1140.0,2019-12-04
20,差异单品,07220,台湾释迦,66.0,15,2019-12-04,102.0,109.97999999999999,51.0,0,0,0.6296296296296297,1.588235294117647,1659.5982,4.45419,82.485,0,5608.98,2019-12-04
21,差异单品,12240,珍珠牛奶枣,506.0,397,2019-12-04,102.0,84.0,109.0,0,0,0.12070874861572536,8.284403669724771,33548.088,37.926,1667.4,0,9156.0,2019-12-04
