,goods_code,商品名称,订货箱数,Stock,Inventory,日期,订货仓库,箱价,ORDER_SUM,stockout,缺货率,ito,ito_day,资金占用成本,库存管理成本,商品价值损耗成本,缺货成本,销售额,time
0,07540,优选泰国桂圆,162,179.0,17.0,2019-12-09,102.0,136.5,162.0,0.0,0.0,0.826530612244898,1.2098765432098766,2334.4230000000002,13.377,116.025,0.0,22113.0,2019-12-24
1,07310,金火龙果,90,88.0,0.0,2019-12-09,102.0,135.0,88.0,-2.0,0.022222222222222223,1.0,1.0,0.0,5.94,0.0,288.90000000000003,11880.0,2019-12-24
2,11620,带叶鲜橙（小）,224,300.0,76.0,2019-12-09,102.0,90.0,224.0,0.0,0.0,0.5957446808510638,1.6785714285714286,6881.04,16.92,342.0,0.0,20160.0,2019-12-24
3,07350,泰国椰青,126,2235.0,2109.0,2019-12-09,102.0,70.02,126.0,0.0,0.0,0.029005524861878452,34.476190476190474,148558.21308,152.08344,7383.609,0.0,8822.519999999999,2019-12-24
4,13160,南水梨,74,989.0,915.0,2019-12-09,102.0,110.0,74.0,0.0,0.0,0.038865546218487396,25.72972972972973,101253.9,104.72,5032.5,0.0,8140.0,2019-12-24
5,06390,金边香芒,151,190.0,39.0,2019-12-09,102.0,85.0,151.0,0.0,0.0,0.6593886462882096,1.5165562913907285,3334.89,9.7325,165.75,0.0,12835.0,2019-12-24
6,05200,沙洲绿宝瓜,831,6068.0,5237.0,2019-12-09,102.0,72.0,831.0,0.0,0.0,0.07350729765590447,13.604091456077015,379326.384,406.98,18853.2,0.0,59832.0,2019-12-24
7,01310,克伦森无籽红提,200,259.0,59.0,2019-12-09,102.0,216.0,200.0,0.0,0.0,0.6289308176100629,1.59,12820.464,34.344,637.2,0.0,43200.0,2019-12-24
8,05020,鲜丰玉麒麟,206,300.0,94.0,2019-12-09,102.0,105.0,206.0,0.0,0.0,0.5228426395939086,1.912621359223301,9929.22,20.685,493.5,0.0,21630.0,2019-12-24
9,06850,百香果（盒）,26,45.0,19.0,2019-12-09,102.0,17.5,26.0,0.0,0.0,0.40625,2.4615384615384617,334.495,0.56,16.625,0.0,455.0,2019-12-24
10,65770,冰糖橙,43,71.0,28.0,2019-12-09,102.0,112.5,43.0,0.0,0.0,0.43434343434343436,2.302325581395349,3168.9,5.5687500000000005,157.5,0.0,4837.5,2019-12-24
11,07600,菲律宾凤梨,104,115.0,11.0,2019-12-09,102.0,110.0,104.0,0.0,0.0,0.8253968253968254,1.2115384615384617,1217.26,6.93,60.5,0.0,11440.0,2019-12-24
12,12190,龙珠果,10,10.0,0.0,2019-12-09,102.0,70.0,10.0,0.0,0.0,1.0,1.0,0.0,0.35000000000000003,0.0,0.0,700.0,2019-12-24
13,01270,冰糖木瓜,4,13.0,9.0,2019-12-09,102.0,55.04,4.0,0.0,0.0,0.18181818181818182,5.5,498.33216000000004,0.60544,24.768,0.0,220.16,2019-12-24
14,07340,火参果,3,15.0,12.0,2019-12-09,102.0,90.0,3.0,0.0,0.0,0.1111111111111111,9.0,1086.48,1.215,54.0,0.0,270.0,2019-12-24
15,07300,蜜宝红心火龙果,237,237.0,0.0,2019-12-09,102.0,100.0,237.0,0.0,0.0,1.0,1.0,0.0,11.85,0.0,0.0,23700.0,2019-12-24
16,11650,优选香梨,79,943.0,864.0,2019-12-09,102.0,63.0,79.0,0.0,0.0,0.043718871057000556,22.873417721518987,54758.592,56.920500000000004,2721.6000000000004,0.0,4977.0,2019-12-24
17,07950,金尧榴莲,90,90.0,0.0,2019-12-09,102.0,279.995,90.0,0.0,0.0,1.0,1.0,0.0,12.599775,0.0,0.0,25199.55,2019-12-24
18,11710,甄选蓝莓,77,217.0,140.0,2019-12-09,102.0,110.03999999999999,77.0,0.0,0.0,0.21568627450980393,4.636363636363636,15498.033599999999,19.64214,770.28,0.0,8473.08,2019-12-24
19,12130,原种红玉木瓜,34,83.0,49.0,2019-12-09,102.0,38.0,34.0,0.0,0.0,0.25757575757575757,3.8823529411764706,1873.172,2.508,93.10000000000001,0.0,1292.0,2019-12-24
20,07220,台湾释迦,20,65.0,45.0,2019-12-09,102.0,109.97999999999999,20.0,0.0,0.0,0.18181818181818182,5.5,4978.794599999999,6.0489,247.45499999999998,0.0,2199.6,2019-12-24
21,12240,珍珠牛奶枣,112,220.0,108.0,2019-12-09,102.0,84.0,112.0,0.0,0.0,0.34146341463414637,2.9285714285714284,9126.432,13.776,453.6,0.0,9408.0,2019-12-24
