,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout,Suggestion_qty,Stock_new
0,65550,樱桃小番茄,,,,,55,
1,07540,优选泰国桂圆,264.0,142.0,122.0,0.0,153,275.0
2,07310,金火龙果,813.0,273.0,540.0,0.0,593,1133.0
3,11620,带叶鲜橙（小）,128.0,134.0,-6.0,-6.0,212,206.0
4,11600,满山红富士（大）,,,,,50,
5,16010,春蕉,923.0,846.0,77.0,0.0,854,931.0
6,16040,进口蕉,688.0,244.0,444.0,0.0,239,683.0
7,07350,泰国椰青,112.0,95.0,17.0,0.0,166,183.0
8,13160,南水梨,181.0,65.0,116.0,0.0,58,174.0
9,06390,金边香芒,168.0,127.0,41.0,0.0,143,184.0
10,05200,沙洲绿宝瓜,944.0,759.0,185.0,0.0,735,920.0
11,01310,克伦森无籽红提,330.0,252.0,78.0,0.0,283,361.0
12,08890,金香露蜜桔,,,,,0,
13,05020,鲜丰玉麒麟,170.0,164.0,6.0,0.0,166,172.0
14,07640,智利车厘子J,460.0,139.0,321.0,0.0,466,787.0
15,06850,百香果（盒）,19.0,17.0,2.0,0.0,15,17.0
16,65770,冰糖橙,57.0,21.0,36.0,0.0,15,51.0
17,07600,菲律宾凤梨,156.0,76.0,80.0,0.0,36,116.0
18,12190,龙珠果,18.0,12.0,6.0,0.0,9,15.0
19,01270,冰糖木瓜,7.0,8.0,-1.0,-1.0,10,9.0
20,07340,火参果,5.0,4.0,1.0,0.0,6,7.0
21,07300,蜜宝红心火龙果,83.0,54.0,29.0,0.0,40,69.0
22,11650,优选香梨,118.0,59.0,59.0,0.0,30,89.0
23,07950,金尧榴莲,146.0,114.0,32.0,0.0,111,143.0
24,11710,甄选蓝莓,114.0,66.0,48.0,0.0,63,111.0
25,12130,原种红玉木瓜,64.0,26.0,38.0,0.0,46,84.0
26,07220,台湾释迦,20.0,29.0,-9.0,-9.0,41,32.0
27,12240,珍珠牛奶枣,128.0,94.0,34.0,0.0,93,127.0
