,Sku_code,Sku_name,Stock,Inventory,Suggestion_qty,Stock_new
0,65550,樱桃小番茄,523,279,46,325
1,07540,优选泰国桂圆,763,138,494,632
2,07310,金火龙果,1579,916,0,916
3,11620,带叶鲜橙（小）,506,-70,646,576
4,11600,满山红富士（大）,1073,573,0,573
5,16010,春蕉,1240,0,1008,1008
6,16040,进口蕉,528,0,514,514
7,07350,泰国椰青,439,313,0,313
8,13160,南水梨,479,383,0,383
9,06390,金边香芒,200,38,204,242
10,05200,沙洲绿宝瓜,5888,4863,0,4863
11,01310,克伦森无籽红提,1109,858,0,858
12,08890,金香露蜜桔,513,423,0,423
13,05020,鲜丰玉麒麟,212,21,154,175
14,07640,智利车厘子J,220,113,193,306
15,06850,百香果（盒）,40,7,27,34
16,65770,冰糖橙,179,138,0,138
17,07600,菲律宾凤梨,122,50,101,151
18,12190,龙珠果,20,9,8,17
19,01270,冰糖木瓜,13,7,1,8
20,07340,火参果,15,7,3,10
21,07300,蜜宝红心火龙果,191,156,0,156
22,11650,优选香梨,160,93,0,93
23,07950,金尧榴莲,221,59,164,223
24,11710,甄选蓝莓,294,218,0,218
25,12130,原种红玉木瓜,153,120,0,120
26,07220,台湾释迦,19,9,1,10
27,12240,珍珠牛奶枣,373,266,0,266
