,当前组合商品名称,总毛利,总毛利率,每款商品对应的毛利率,每款商品的原始售价,每款商品的折扣毛利,每款商品的折扣率,每款商品的活动价,毛利排名,该组合下客户最终的订单金额
0,甄选车厘子（JJ）-1斤,81.72,38.5072%,23.66%,133.0,53.0,1.0,133.0,0.0,212.22000000000003
1,优选车厘子XL-1斤,81.72,38.5072%,18.93%,69.0,22.0,1.0,69.0,0.0,212.22000000000003
2,网纹瓜1只约3斤,81.72,38.5072%,28.63%,28.5,13.5,1.0,28.5,0.0,212.22000000000003
3,红肉菠萝蜜1斤,81.72,38.5072%,44.66%,25.3,18.8,1.0,25.3,0.0,212.22000000000003
4,甄选车厘子（JJ）-1斤,79.69,37.3448%,23.32%,133.0,53.0,1.0,133.0,1.0,213.39000000000001
5,优选车厘子XL-1斤,79.69,37.3448%,18.66%,69.0,22.0,1.0,69.0,1.0,213.39000000000001
6,花生糖/芝麻粮任选1包(500g),79.69,37.3448%,23.41%,29.8,11.600000000000001,1.0,29.8,1.0,213.39000000000001
7,红肉菠萝蜜1斤,79.69,37.3448%,44.01%,25.3,18.8,1.0,25.3,1.0,213.39000000000001
8,甄选车厘子（JJ）-1斤,77.78075999999999,37.7795%,23.21%,133.0,53.0,1.0,133.0,2.0,205.88076
9,优选车厘子XL-1斤,77.78075999999999,37.7795%,18.57%,69.0,22.0,1.0,69.0,2.0,205.88076
10,红肉菠萝蜜1斤,77.78075999999999,37.7795%,43.79%,25.3,18.8,1.0,25.3,2.0,205.88076
11,凯特芒青1个-约700g,77.78075999999999,37.7795%,24.56%,21.4564,8.856399999999999,1.0,21.4564,2.0,205.88076
12,甄选车厘子（JJ）-1斤,75.24,42.5229%,23.54%,133.0,53.0,1.0,133.0,3.0,176.94000000000003
13,花生糖/芝麻粮任选1包(500g),75.24,42.5229%,23.63%,29.8,11.600000000000001,1.0,29.8,3.0,176.94000000000003
14,网纹瓜1只约3斤,75.24,42.5229%,28.48%,28.5,13.5,1.0,28.5,3.0,176.94000000000003
15,红肉菠萝蜜1斤,75.24,42.5229%,44.42%,25.3,18.8,1.0,25.3,3.0,176.94000000000003
16,甄选车厘子（JJ）-1斤,74.07,34.2489%,22.32%,133.0,53.0,1.0,133.0,4.0,216.27
17,优选车厘子XL-1斤,74.07,34.2489%,17.86%,69.0,22.0,1.0,69.0,4.0,216.27
18,花生糖/芝麻粮任选1包(500g),74.07,34.2489%,22.41%,29.8,11.600000000000001,1.0,29.8,4.0,216.27
19,网纹瓜1只约3斤,74.07,34.2489%,27.01%,28.5,13.5,1.0,28.5,4.0,216.27
20,甄选车厘子（JJ）-1斤,73.75399999999999,35.4358%,22.47%,133.0,53.0,1.0,133.0,5.0,208.13400000000001
21,优选车厘子XL-1斤,73.75399999999999,35.4358%,17.98%,69.0,22.0,1.0,69.0,5.0,208.13400000000001
22,红肉菠萝蜜1斤,73.75399999999999,35.4358%,42.40%,25.3,18.8,1.0,25.3,5.0,208.13400000000001
23,佳沛阳光金果36#,73.75399999999999,35.4358%,12.45%,23.96,5.080000000000002,1.0,23.96,5.0,208.13400000000001
24,甄选车厘子（JJ）-1斤,73.33076,43.2807%,23.42%,133.0,53.0,1.0,133.0,6.0,169.43076000000002
25,网纹瓜1只约3斤,73.33076,43.2807%,28.33%,28.5,13.5,1.0,28.5,6.0,169.43076000000002
26,红肉菠萝蜜1斤,73.33076,43.2807%,44.19%,25.3,18.8,1.0,25.3,6.0,169.43076000000002
27,凯特芒青1个-约700g,73.33076,43.2807%,24.78%,21.4564,8.856399999999999,1.0,21.4564,6.0,169.43076000000002
28,甄选车厘子（JJ）-1斤,72.16076,34.5662%,22.17%,133.0,53.0,1.0,133.0,7.0,208.76076
29,优选车厘子XL-1斤,72.16076,34.5662%,17.74%,69.0,22.0,1.0,69.0,7.0,208.76076
30,网纹瓜1只约3斤,72.16076,34.5662%,26.82%,28.5,13.5,1.0,28.5,7.0,208.76076
31,凯特芒青1个-约700g,72.16076,34.5662%,23.46%,21.4564,8.856399999999999,1.0,21.4564,7.0,208.76076
32,甄选车厘子（JJ）-1斤,71.30075999999998,41.7939%,23.02%,133.0,53.0,1.0,133.0,8.0,170.60076000000004
33,花生糖/芝麻粮任选1包(500g),71.30075999999998,41.7939%,23.11%,29.8,11.600000000000001,1.0,29.8,8.0,170.60076000000004
34,红肉菠萝蜜1斤,71.30075999999998,41.7939%,43.45%,25.3,18.8,1.0,25.3,8.0,170.60076000000004
35,凯特芒青1个-约700g,71.30075999999998,41.7939%,24.37%,21.4564,8.856399999999999,1.0,21.4564,8.0,170.60076000000004
36,甄选车厘子（JJ）-1斤,71.07,38.0929%,22.55%,133.0,53.0,1.0,133.0,9.0,186.57000000000002
37,优选车厘子XL-1斤,71.07,38.0929%,18.04%,69.0,22.0,1.0,69.0,9.0,186.57000000000002
38,红肉菠萝蜜1斤,71.07,38.0929%,42.55%,25.3,18.8,1.0,25.3,9.0,186.57000000000002
39,甄选车厘子（JJ）-1斤,70.13076,33.4066%,21.76%,133.0,53.0,1.0,133.0,10.0,209.93076000000002
40,优选车厘子XL-1斤,70.13076,33.4066%,17.41%,69.0,22.0,1.0,69.0,10.0,209.93076000000002
41,花生糖/芝麻粮任选1包(500g),70.13076,33.4066%,21.84%,29.8,11.600000000000001,1.0,29.8,10.0,209.93076000000002
42,凯特芒青1个-约700g,70.13076,33.4066%,23.03%,21.4564,8.856399999999999,1.0,21.4564,10.0,209.93076000000002
43,甄选车厘子（JJ）-1斤,69.304,40.3672%,22.62%,133.0,53.0,1.0,133.0,11.0,171.68400000000003
44,网纹瓜1只约3斤,69.304,40.3672%,27.37%,28.5,13.5,1.0,28.5,11.0,171.68400000000003
45,红肉菠萝蜜1斤,69.304,40.3672%,42.69%,25.3,18.8,1.0,25.3,11.0,171.68400000000003
46,佳沛阳光金果36#,69.304,40.3672%,12.54%,23.96,5.080000000000002,1.0,23.96,11.0,171.68400000000003
47,甄选车厘子（JJ）-1斤,68.134,32.2889%,21.35%,133.0,53.0,1.0,133.0,12.0,211.014
48,优选车厘子XL-1斤,68.134,32.2889%,17.08%,69.0,22.0,1.0,69.0,12.0,211.014
49,网纹瓜1只约3斤,68.134,32.2889%,25.83%,28.5,13.5,1.0,28.5,12.0,211.014
50,佳沛阳光金果36#,68.134,32.2889%,11.83%,23.96,5.080000000000002,1.0,23.96,12.0,211.014
51,甄选车厘子（JJ）-1斤,67.27399999999999,38.9196%,22.19%,133.0,53.0,1.0,133.0,13.0,172.85400000000004
52,花生糖/芝麻粮任选1包(500g),67.27399999999999,38.9196%,22.28%,29.8,11.600000000000001,1.0,29.8,13.0,172.85400000000004
53,红肉菠萝蜜1斤,67.27399999999999,38.9196%,41.88%,25.3,18.8,1.0,25.3,13.0,172.85400000000004
54,佳沛阳光金果36#,67.27399999999999,38.9196%,12.30%,23.96,5.080000000000002,1.0,23.96,13.0,172.85400000000004
55,甄选车厘子（JJ）-1斤,66.62,44.3778%,22.71%,133.0,53.0,1.0,133.0,14.0,150.12
56,网纹瓜1只约3斤,66.62,44.3778%,27.48%,28.5,13.5,1.0,28.5,14.0,150.12
57,红肉菠萝蜜1斤,66.62,44.3778%,42.86%,25.3,18.8,1.0,25.3,14.0,150.12
