,goods,value,all_profit,all_profit_total,all_sales_price,discount_rate,profit_rate
0,"['优选巨峰葡萄-约300g/份', '云南蜜桔子-100g', '【进口】菲律宾香蕉-约500~550g/份', '【进口】菲律宾香蕉-约500~550g/份', '泰国山竹-约300-350g']",26.310000000000002,"[1.488888888888892, -0.9888888888888889, 2.785185185185194, 2.785185185185194, 6.887777777777764]",6.034814814814822,"[3.8, 7.8, 3.8, 3.8, 19.2111111111111]","[0.498575498575499, 0.00292397660818713, 0.00292397660818713, 0.00292397660818713, 0.769230769230769]","['16.7341%', '-4.7633%', '31.3036%', '31.3036%', '12.2232%']"
3,"['优选巨峰葡萄-约300g/份', '云南蜜桔子-100g', '【进口】菲律宾香蕉-约500~550g/份', '【进口】菲律宾香蕉-约500~550g/份', '【鲜果切】西瓜鲜果切-约2斤']",27.21,"[1.488888888888892, -0.9888888888888889, 2.785185185185194, 2.785185185185194, 7.097777777777765]",6.144814814814823,"[3.8, 7.8, 3.8, 3.8, 20.5111111111111]","[0.498575498575499, 0.00292397660818713, 0.00292397660818713, 0.00292397660818713, 0.769230769230769]","['17.3230%', '-4.9309%', '32.4051%', '32.4051%', '12.3872%']"
5,"['优选巨峰葡萄-约300g/份', '云南蜜桔子-100g', '【进口】菲律宾香蕉-约500~550g/份', '【进口】菲律宾香蕉-约500~550g/份', '【不吐籽大口吃】软籽石榴-1只350-450g']",29.01,"[1.488888888888892, -0.9888888888888889, 2.785185185185194, 2.785185185185194, 7.977777777777764]",6.824814814814822,"[3.8, 7.8, 3.8, 3.8, 20.5111111111111]","[0.498575498575499, 0.00292397660818713, 0.00292397660818713, 0.00292397660818713, 0.769230769230769]","['20.5419%', '-5.8472%', '38.4266%', '38.4266%', '16.5102%']"
6,"['优选巨峰葡萄-约300g/份', '云南蜜桔子-100g', '【进口】菲律宾香蕉-约500~550g/份', '【进口】菲律宾香蕉-约500~550g/份', '那么大西梅-约228g/罐']",30.010000000000044,"[1.488888888888892, -0.9888888888888889, 2.785185185185194, 2.785185185185194, 7.888888888888918]",6.62481481481486,"[3.8, 7.8, 3.8, 3.8, 21.8111111111111]","[0.498575498575499, 0.00292397660818713, 0.00292397660818713, 0.00292397660818713, 0.769230769230769]","['19.6637%', '-5.5972%', '36.7839%', '36.7839%', '14.8841%']"
7,"['优选巨峰葡萄-约300g/份', '云南蜜桔子-100g', '【进口】菲律宾香蕉-约500~550g/份', '【进口】菲律宾香蕉-约500~550g/份', '【不吐籽大口吃】手剥软籽石榴-1盒300g']",31.71,"[1.488888888888892, -0.9888888888888889, 2.785185185185194, 2.785185185185194, 9.777777777777764]",8.324814814814822,"[3.8, 7.8, 3.8, 3.8, 21.8111111111111]","[0.498575498575499, 0.00292397660818713, 0.00292397660818713, 0.00292397660818713, 0.769230769230769]","['25.7830%', '-7.3391%', '48.2309%', '48.2309%', '24.1888%']"
8,"['优选巨峰葡萄-约300g/份', '云南蜜桔子-100g', '【进口】菲律宾香蕉-约500~550g/份', '【进口】菲律宾香蕉-约500~550g/份', '佳沛阳光金果33#-4只']",38.910000000000004,"[1.488888888888892, -0.9888888888888889, 2.785185185185194, 2.785185185185194, 10.577777777777765]",8.324814814814824,"[3.8, 7.8, 3.8, 3.8, 24.4111111111111]","[0.498575498575499, 0.00292397660818713, 0.00292397660818713, 0.00292397660818713, 0.769230769230769]","['25.7830%', '-7.3391%', '48.2309%', '48.2309%', '22.8969%']"
9,"['优选巨峰葡萄-约300g/份', '云南蜜桔子-100g', '【进口】菲律宾香蕉-约500~550g/份', '【进口】菲律宾香蕉-约500~550g/份', '【新鲜直达】美国车厘子-约250g']",41.61,"[1.488888888888892, -0.9888888888888889, 2.785185185185194, 2.785185185185194, 13.277777777777764]",10.724814814814824,"[3.8, 7.8, 3.8, 3.8, 25.8555555555556]","[0.498575498575499, 0.00292397660818713, 0.00292397660818713, 0.00292397660818713, 0.769230769230769]","['31.1194%', '-8.8581%', '58.2135%', '58.2135%', '33.3024%']"
10,"['优选巨峰葡萄-约300g/份', '云南蜜桔子-100g', '【进口】菲律宾香蕉-约500~550g/份', '【进口】菲律宾香蕉-约500~550g/份', '【需解冻】冷冻榴莲肉（有核）-约300g/盒42.8']",53.309999999999995,"[1.488888888888892, -0.9888888888888889, 2.785185185185194, 2.785185185185194, 19.977777777777757]",16.124814814814815,"[3.8, 7.8, 3.8, 3.8, 28.3111111111111]","[0.498575498575499, 0.00292397660818713, 0.00292397660818713, 0.00292397660818713, 0.769230769230769]","['37.3183%', '-10.6226%', '69.8093%', '69.8093%', '53.6500%']"
33,"['优选巨峰葡萄-约300g/份', '云南蜜桔子-100g', '【进口】菲律宾香蕉-约500~550g/份', '【鲜果切】玉麒麟西瓜果切-约350g/份', '【默认开口】泰国椰青1只']",26.309999999999988,"[1.488888888888892, -0.9888888888888889, 2.785185185185194, 2.937777777777767, 6.277777777777766]",5.577407407407399,"[3.8, 7.8, 3.8, 8.81111111111112, 16.6111111111111]","[0.498575498575499, 0.00292397660818713, 0.00292397660818713, 0.769230769230769, 0.769230769230769]","['14.0363%', '-3.9954%', '26.2570%', '10.3858%', '11.0968%']"
36,"['优选巨峰葡萄-约300g/份', '云南蜜桔子-100g', '【进口】菲律宾香蕉-约500~550g/份', '【鲜果切】玉麒麟西瓜果切-约350g/份', '泰国山竹-约300-350g']",27.20999999999999,"[1.488888888888892, -0.9888888888888889, 2.785185185185194, 2.937777777777767, 6.887777777777764]",6.087407407407396,"[3.8, 7.8, 3.8, 8.81111111111112, 19.2111111111111]","[0.498575498575499, 0.00292397660818713, 0.00292397660818713, 0.769230769230769, 0.769230769230769]","['17.0183%', '-4.8442%', '31.8352%', '12.5923%', '12.4308%']"
