,当前组合商品名称,总毛利,每款商品对应的毛利率,每款商品的原始售价,每款商品的折扣毛利,每款商品的折扣率,毛利排名,该组合下客户最终的订单金额
0,【脆甜】冰糖冬枣-约半斤,10.07,56.6667%,6.9,3.4000000000000004,1.0,1.0,12.76
1,【真的超甜】黄蒂柑橘子1个,10.07,80.7143%,7.6,5.6499999999999995,1.0,1.0,12.76
2,【脆甜】冰糖冬枣-约半斤,7.14,56.6667%,6.9,3.4000000000000004,1.0,2.0,11.88
3,【皮薄水润】东江湖蜜桔子-450-500g,7.14,43.3333%,6.6,2.5999999999999996,1.0,2.0,11.88
4,【真的超甜】黄蒂柑橘子1个,9.306000000000001,80.7143%,7.6,5.6499999999999995,1.0,3.0,12.495999999999999
5,【皮薄水润】东江湖蜜桔子-450-500g,9.306000000000001,43.3333%,6.6,2.5999999999999996,1.0,3.0,12.495999999999999
6,【满山红】红富士苹果75#-约1斤,2.892711999999999,-40.8191%,11.8,-4.4901,0.0015,4.0,8.632712
7,百香果-2只/份,2.892711999999999,96.6667%,6.6,5.799999999999999,0.830508474576271,4.0,8.632712
8,【满山红】红富士苹果75#-约1斤,6.192712000000001,-20.4095%,22.8,-4.4901,0.0015,5.0,17.432712
9,【甜蜜现剥】菠萝蜜-约250-300g,6.192712000000001,171.6667%,6.6,10.3,0.868421052631579,5.0,17.432712
10,【满山红】红富士苹果75#-约1斤,-0.047287999999998664,-64.1443%,7.8,-4.4901,0.0015,6.0,5.992712000000002
11,【菲律宾】进口香蕉-约450~500g/份,-0.047287999999998664,41.6667%,6.6,2.5000000000000018,0.871794871794872,6.0,5.992712000000002
12,【满山红】红富士苹果75#-约1斤,2.1527120000000024,-64.1443%,7.5,-4.4901,0.0015,7.0,5.992712000000002
13,菲诺纯椰汁-约180ml/袋,2.1527120000000024,78.3333%,6.6,4.700000000000003,0.906666666666667,7.0,5.992712000000002
14,【满山红】红富士苹果75#-约1斤,11.132712000000003,-12.8289%,35.8,-4.4901,0.0015,8.0,28.872712000000007
15,【杨果铺】嘴强大脑奶香核桃-1包500g,11.132712000000003,280.0000%,6.6,16.800000000000004,0.916201117318436,8.0,28.872712000000007
16,【满山红】红富士苹果75#-约1斤,0.8407120000000003,-74.8350%,6.9,-4.4901,0.0015,9.0,6.080712
17,【脆甜】冰糖冬枣-约半斤,0.8407120000000003,56.6667%,6.6,3.4000000000000004,1.0,9.0,6.080712
18,【满山红】红富士苹果75#-约1斤,3.0067119999999994,-64.1443%,7.6,-4.4901,0.0015,10.0,6.696712
19,【真的超甜】黄蒂柑橘子1个,3.0067119999999994,94.1667%,6.6,5.6499999999999995,1.0,10.0,6.696712
20,【满山红】红富士苹果75#-约1斤,0.07671199999999967,-74.8350%,6.6,-4.4901,0.0015,11.0,5.816712
21,【皮薄水润】东江湖蜜桔子-450-500g,0.07671199999999967,43.3333%,6.6,2.5999999999999996,1.0,11.0,5.816712
22,【满山红】红富士苹果75#-约1斤,10.816712,-40.8191%,11.8,-4.4901,0.0015,12.0,26.056712
23,百香果-2只/份,10.816712,26.3636%,22.8,5.799999999999999,0.830508474576271,12.0,26.056712
24,【甜蜜现剥】菠萝蜜-约250-300g,10.816712,171.6667%,6.6,10.3,0.868421052631579,12.0,26.056712
25,【满山红】红富士苹果75#-约1斤,4.576712000000001,-40.8191%,11.8,-4.4901,0.0015,13.0,14.616712
26,百香果-2只/份,4.576712000000001,82.8571%,7.8,5.799999999999999,0.830508474576271,13.0,14.616712
27,【菲律宾】进口香蕉-约450~500g/份,4.576712000000001,41.6667%,6.6,2.5000000000000018,0.871794871794872,13.0,14.616712
28,【满山红】红富士苹果75#-约1斤,15.756712000000004,-40.8191%,11.8,-4.4901,0.0015,14.0,37.496712
29,百香果-2只/份,15.756712000000004,16.5714%,35.8,5.799999999999999,0.830508474576271,14.0,37.496712
30,【杨果铺】嘴强大脑奶香核桃-1包500g,15.756712000000004,280.0000%,6.6,16.800000000000004,0.916201117318436,14.0,37.496712
31,【满山红】红富士苹果75#-约1斤,5.464712,-40.8191%,11.8,-4.4901,0.0015,15.0,14.704711999999997
32,百香果-2只/份,5.464712,96.6667%,6.9,5.799999999999999,0.830508474576271,15.0,14.704711999999997
33,【脆甜】冰糖冬枣-约半斤,5.464712,56.6667%,6.6,3.4000000000000004,1.0,15.0,14.704711999999997
34,【满山红】红富士苹果75#-约1斤,7.630712,-40.8191%,11.8,-4.4901,0.0015,16.0,15.320711999999997
35,百香果-2只/份,7.630712,82.8571%,7.6,5.799999999999999,0.830508474576271,16.0,15.320711999999997
36,【真的超甜】黄蒂柑橘子1个,7.630712,94.1667%,6.6,5.6499999999999995,1.0,16.0,15.320711999999997
37,【满山红】红富士苹果75#-约1斤,4.700711999999999,-40.8191%,11.8,-4.4901,0.0015,17.0,14.440711999999998
38,百香果-2只/份,4.700711999999999,96.6667%,6.6,5.799999999999999,0.830508474576271,17.0,14.440711999999998
39,【皮薄水润】东江湖蜜桔子-450-500g,4.700711999999999,43.3333%,6.6,2.5999999999999996,1.0,17.0,14.440711999999998
40,【满山红】红富士苹果75#-约1斤,7.876712000000002,-20.4095%,22.8,-4.4901,0.0015,18.0,23.416712
41,【甜蜜现剥】菠萝蜜-约250-300g,7.876712000000002,147.1429%,7.8,10.3,0.868421052631579,18.0,23.416712
42,【菲律宾】进口香蕉-约450~500g/份,7.876712000000002,41.6667%,6.6,2.5000000000000018,0.871794871794872,18.0,23.416712
43,【满山红】红富士苹果75#-约1斤,19.056712,-20.4095%,22.8,-4.4901,0.0015,19.0,46.29671200000001
44,【甜蜜现剥】菠萝蜜-约250-300g,19.056712,29.4286%,35.8,10.3,0.868421052631579,19.0,46.29671200000001
45,【杨果铺】嘴强大脑奶香核桃-1包500g,19.056712,280.0000%,6.6,16.800000000000004,0.916201117318436,19.0,46.29671200000001
46,【满山红】红富士苹果75#-约1斤,8.764712000000001,-20.4095%,22.8,-4.4901,0.0015,20.0,23.504712
47,【甜蜜现剥】菠萝蜜-约250-300g,8.764712000000001,171.6667%,6.9,10.3,0.868421052631579,20.0,23.504712
48,【脆甜】冰糖冬枣-约半斤,8.764712000000001,56.6667%,6.6,3.4000000000000004,1.0,20.0,23.504712
49,【满山红】红富士苹果75#-约1斤,10.930712,-20.4095%,22.8,-4.4901,0.0015,21.0,24.120711999999997
50,【甜蜜现剥】菠萝蜜-约250-300g,10.930712,147.1429%,7.6,10.3,0.868421052631579,21.0,24.120711999999997
51,【真的超甜】黄蒂柑橘子1个,10.930712,94.1667%,6.6,5.6499999999999995,1.0,21.0,24.120711999999997
52,【满山红】红富士苹果75#-约1斤,8.000712,-20.4095%,22.8,-4.4901,0.0015,22.0,23.240712
53,【甜蜜现剥】菠萝蜜-约250-300g,8.000712,171.6667%,6.6,10.3,0.868421052631579,22.0,23.240712
54,【皮薄水润】东江湖蜜桔子-450-500g,8.000712,43.3333%,6.6,2.5999999999999996,1.0,22.0,23.240712
55,【满山红】红富士苹果75#-约1斤,3.836712000000004,-64.1443%,7.8,-4.4901,0.0015,23.0,11.976712000000004
56,【菲律宾】进口香蕉-约450~500g/份,3.836712000000004,35.7143%,7.5,2.5000000000000018,0.871794871794872,23.0,11.976712000000004
57,菲诺纯椰汁-约180ml/袋,3.836712000000004,78.3333%,6.6,4.700000000000003,0.906666666666667,23.0,11.976712000000004
58,【满山红】红富士苹果75#-约1斤,12.816712000000003,-64.1443%,7.8,-4.4901,0.0015,24.0,34.85671200000001
59,【菲律宾】进口香蕉-约450~500g/份,12.816712000000003,7.1429%,35.8,2.5000000000000018,0.871794871794872,24.0,34.85671200000001
60,【杨果铺】嘴强大脑奶香核桃-1包500g,12.816712000000003,280.0000%,6.6,16.800000000000004,0.916201117318436,24.0,34.85671200000001
61,【满山红】红富士苹果75#-约1斤,2.524712000000002,-64.1443%,7.8,-4.4901,0.0015,25.0,12.064712000000002
62,【菲律宾】进口香蕉-约450~500g/份,2.524712000000002,41.6667%,6.9,2.5000000000000018,0.871794871794872,25.0,12.064712000000002
63,【脆甜】冰糖冬枣-约半斤,2.524712000000002,56.6667%,6.6,3.4000000000000004,1.0,25.0,12.064712000000002
64,【满山红】红富士苹果75#-约1斤,4.690712000000001,-64.1443%,7.8,-4.4901,0.0015,26.0,12.680712000000002
65,【菲律宾】进口香蕉-约450~500g/份,4.690712000000001,35.7143%,7.6,2.5000000000000018,0.871794871794872,26.0,12.680712000000002
66,【真的超甜】黄蒂柑橘子1个,4.690712000000001,94.1667%,6.6,5.6499999999999995,1.0,26.0,12.680712000000002
67,【满山红】红富士苹果75#-约1斤,1.7607120000000012,-64.1443%,7.8,-4.4901,0.0015,27.0,11.800712000000003
68,【菲律宾】进口香蕉-约450~500g/份,1.7607120000000012,41.6667%,6.6,2.5000000000000018,0.871794871794872,27.0,11.800712000000003
69,【皮薄水润】东江湖蜜桔子-450-500g,1.7607120000000012,43.3333%,6.6,2.5999999999999996,1.0,27.0,11.800712000000003
70,【满山红】红富士苹果75#-约1斤,13.704712000000002,-12.8289%,35.8,-4.4901,0.0015,28.0,34.944712
71,【杨果铺】嘴强大脑奶香核桃-1包500g,13.704712000000002,280.0000%,6.9,16.800000000000004,0.916201117318436,28.0,34.944712
72,【脆甜】冰糖冬枣-约半斤,13.704712000000002,56.6667%,6.6,3.4000000000000004,1.0,28.0,34.944712
73,【满山红】红富士苹果75#-约1斤,15.870712000000005,-12.8289%,35.8,-4.4901,0.0015,29.0,35.56071200000001
74,【杨果铺】嘴强大脑奶香核桃-1包500g,15.870712000000005,240.0000%,7.6,16.800000000000004,0.916201117318436,29.0,35.56071200000001
75,【真的超甜】黄蒂柑橘子1个,15.870712000000005,94.1667%,6.6,5.6499999999999995,1.0,29.0,35.56071200000001
76,【满山红】红富士苹果75#-约1斤,12.940712000000005,-12.8289%,35.8,-4.4901,0.0015,30.0,34.68071200000001
77,【杨果铺】嘴强大脑奶香核桃-1包500g,12.940712000000005,280.0000%,6.6,16.800000000000004,0.916201117318436,30.0,34.68071200000001
78,【皮薄水润】东江湖蜜桔子-450-500g,12.940712000000005,43.3333%,6.6,2.5999999999999996,1.0,30.0,34.68071200000001
79,【满山红】红富士苹果75#-约1斤,5.578712000000001,-74.8350%,6.9,-4.4901,0.0015,31.0,12.768712
80,【脆甜】冰糖冬枣-约半斤,5.578712000000001,48.5714%,7.6,3.4000000000000004,1.0,31.0,12.768712
81,【真的超甜】黄蒂柑橘子1个,5.578712000000001,94.1667%,6.6,5.6499999999999995,1.0,31.0,12.768712
82,【满山红】红富士苹果75#-约1斤,2.6487119999999997,-74.8350%,6.9,-4.4901,0.0015,32.0,11.888712
83,【脆甜】冰糖冬枣-约半斤,2.6487119999999997,56.6667%,6.6,3.4000000000000004,1.0,32.0,11.888712
84,【皮薄水润】东江湖蜜桔子-450-500g,2.6487119999999997,43.3333%,6.6,2.5999999999999996,1.0,32.0,11.888712
85,【满山红】红富士苹果75#-约1斤,4.814712,-64.1443%,7.6,-4.4901,0.0015,33.0,12.504712
86,【真的超甜】黄蒂柑橘子1个,4.814712,94.1667%,6.6,5.6499999999999995,1.0,33.0,12.504712
87,【皮薄水润】东江湖蜜桔子-450-500g,4.814712,43.3333%,6.6,2.5999999999999996,1.0,33.0,12.504712
88,【满山红】红富士苹果75#-约1斤,12.500712,-40.8191%,11.8,-4.4901,0.0015,34.0,32.040712000000006
89,百香果-2只/份,12.500712,26.3636%,22.8,5.799999999999999,0.830508474576271,34.0,32.040712000000006
90,【甜蜜现剥】菠萝蜜-约250-300g,12.500712,147.1429%,7.8,10.3,0.868421052631579,34.0,32.040712000000006
91,【菲律宾】进口香蕉-约450~500g/份,12.500712,41.6667%,6.6,2.5000000000000018,0.871794871794872,34.0,32.040712000000006
92,【满山红】红富士苹果75#-约1斤,23.680712000000007,-40.8191%,11.8,-4.4901,0.0015,35.0,54.92071200000001
93,百香果-2只/份,23.680712000000007,26.3636%,22.8,5.799999999999999,0.830508474576271,35.0,54.92071200000001
94,【甜蜜现剥】菠萝蜜-约250-300g,23.680712000000007,29.4286%,35.8,10.3,0.868421052631579,35.0,54.92071200000001
95,【杨果铺】嘴强大脑奶香核桃-1包500g,23.680712000000007,280.0000%,6.6,16.800000000000004,0.916201117318436,35.0,54.92071200000001
96,【满山红】红富士苹果75#-约1斤,13.388712,-40.8191%,11.8,-4.4901,0.0015,36.0,32.128712
97,百香果-2只/份,13.388712,26.3636%,22.8,5.799999999999999,0.830508474576271,36.0,32.128712
98,【甜蜜现剥】菠萝蜜-约250-300g,13.388712,171.6667%,6.9,10.3,0.868421052631579,36.0,32.128712
99,【脆甜】冰糖冬枣-约半斤,13.388712,56.6667%,6.6,3.4000000000000004,1.0,36.0,32.128712
100,【满山红】红富士苹果75#-约1斤,15.554712000000002,-40.8191%,11.8,-4.4901,0.0015,37.0,32.74471200000001
101,百香果-2只/份,15.554712000000002,26.3636%,22.8,5.799999999999999,0.830508474576271,37.0,32.74471200000001
102,【甜蜜现剥】菠萝蜜-约250-300g,15.554712000000002,147.1429%,7.6,10.3,0.868421052631579,37.0,32.74471200000001
103,【真的超甜】黄蒂柑橘子1个,15.554712000000002,94.1667%,6.6,5.6499999999999995,1.0,37.0,32.74471200000001
104,【满山红】红富士苹果75#-约1斤,12.624712000000002,-40.8191%,11.8,-4.4901,0.0015,38.0,31.864712000000004
105,百香果-2只/份,12.624712000000002,26.3636%,22.8,5.799999999999999,0.830508474576271,38.0,31.864712000000004
106,【甜蜜现剥】菠萝蜜-约250-300g,12.624712000000002,171.6667%,6.6,10.3,0.868421052631579,38.0,31.864712000000004
