,当前组合商品名称,总毛利,每款商品对应的毛利率,每款商品的原始售价,每款商品的折扣毛利,每款商品的折扣率,毛利排名,该组合下客户最终的订单金额
0,【满山红】红富士苹果75#-约1斤,23.794712000000008,-20.4095%,22.8,-4.4901,0.0015,1.0,52.98471200000001
1,【甜蜜现剥】菠萝蜜-约250-300g,23.794712000000008,29.4286%,35.8,10.3,0.868421052631579,1.0,52.98471200000001
2,【杨果铺】嘴强大脑奶香核桃-1包500g,23.794712000000008,240.0000%,7.6,16.800000000000004,0.916201117318436,1.0,52.98471200000001
3,【真的超甜】黄蒂柑橘子1个,23.794712000000008,94.1667%,6.6,5.6499999999999995,1.0,1.0,52.98471200000001
4,【满山红】红富士苹果75#-约1斤,23.680712000000007,-40.8191%,11.8,-4.4901,0.0015,2.0,54.92071200000001
5,百香果-2只/份,23.680712000000007,26.3636%,22.8,5.799999999999999,0.830508474576271,2.0,54.92071200000001
6,【甜蜜现剥】菠萝蜜-约250-300g,23.680712000000007,29.4286%,35.8,10.3,0.868421052631579,2.0,54.92071200000001
7,【杨果铺】嘴强大脑奶香核桃-1包500g,23.680712000000007,280.0000%,6.6,16.800000000000004,0.916201117318436,2.0,54.92071200000001
8,【满山红】红富士苹果75#-约1斤,21.628712000000007,-20.4095%,22.8,-4.4901,0.0015,3.0,52.36871200000001
9,【甜蜜现剥】菠萝蜜-约250-300g,21.628712000000007,29.4286%,35.8,10.3,0.868421052631579,3.0,52.36871200000001
10,【杨果铺】嘴强大脑奶香核桃-1包500g,21.628712000000007,280.0000%,6.9,16.800000000000004,0.916201117318436,3.0,52.36871200000001
11,【脆甜】冰糖冬枣-约半斤,21.628712000000007,56.6667%,6.6,3.4000000000000004,1.0,3.0,52.36871200000001
12,【满山红】红富士苹果75#-约1斤,20.864712000000004,-20.4095%,22.8,-4.4901,0.0015,4.0,52.10471200000001
13,【甜蜜现剥】菠萝蜜-约250-300g,20.864712000000004,29.4286%,35.8,10.3,0.868421052631579,4.0,52.10471200000001
14,【杨果铺】嘴强大脑奶香核桃-1包500g,20.864712000000004,280.0000%,6.6,16.800000000000004,0.916201117318436,4.0,52.10471200000001
15,【皮薄水润】东江湖蜜桔子-450-500g,20.864712000000004,43.3333%,6.6,2.5999999999999996,1.0,4.0,52.10471200000001
16,【满山红】红富士苹果75#-约1斤,20.74071200000001,-20.4095%,22.8,-4.4901,0.0015,5.0,52.28071200000001
17,【甜蜜现剥】菠萝蜜-约250-300g,20.74071200000001,147.1429%,7.8,10.3,0.868421052631579,5.0,52.28071200000001
18,【菲律宾】进口香蕉-约450~500g/份,20.74071200000001,7.1429%,35.8,2.5000000000000018,0.871794871794872,5.0,52.28071200000001
19,【杨果铺】嘴强大脑奶香核桃-1包500g,20.74071200000001,280.0000%,6.6,16.800000000000004,0.916201117318436,5.0,52.28071200000001
20,【满山红】红富士苹果75#-约1斤,20.494712,-40.8191%,11.8,-4.4901,0.0015,6.0,44.184712000000005
21,百香果-2只/份,20.494712,16.5714%,35.8,5.799999999999999,0.830508474576271,6.0,44.184712000000005
22,【杨果铺】嘴强大脑奶香核桃-1包500g,20.494712,240.0000%,7.6,16.800000000000004,0.916201117318436,6.0,44.184712000000005
23,【真的超甜】黄蒂柑橘子1个,20.494712,94.1667%,6.6,5.6499999999999995,1.0,6.0,44.184712000000005
24,【满山红】红富士苹果75#-约1斤,19.056712,-20.4095%,22.8,-4.4901,0.0015,7.0,46.29671200000001
25,【甜蜜现剥】菠萝蜜-约250-300g,19.056712,29.4286%,35.8,10.3,0.868421052631579,7.0,46.29671200000001
26,【杨果铺】嘴强大脑奶香核桃-1包500g,19.056712,280.0000%,6.6,16.800000000000004,0.916201117318436,7.0,46.29671200000001
27,【满山红】红富士苹果75#-约1斤,18.442712000000004,-12.8289%,35.8,-4.4901,0.0015,8.0,41.632712000000005
28,【杨果铺】嘴强大脑奶香核桃-1包500g,18.442712000000004,280.0000%,6.9,16.800000000000004,0.916201117318436,8.0,41.632712000000005
29,【脆甜】冰糖冬枣-约半斤,18.442712000000004,48.5714%,7.6,3.4000000000000004,1.0,8.0,41.632712000000005
30,【真的超甜】黄蒂柑橘子1个,18.442712000000004,94.1667%,6.6,5.6499999999999995,1.0,8.0,41.632712000000005
31,【满山红】红富士苹果75#-约1斤,18.328712000000003,-40.8191%,11.8,-4.4901,0.0015,9.0,43.568712000000005
32,百香果-2只/份,18.328712000000003,16.5714%,35.8,5.799999999999999,0.830508474576271,9.0,43.568712000000005
33,【杨果铺】嘴强大脑奶香核桃-1包500g,18.328712000000003,280.0000%,6.9,16.800000000000004,0.916201117318436,9.0,43.568712000000005
34,【脆甜】冰糖冬枣-约半斤,18.328712000000003,56.6667%,6.6,3.4000000000000004,1.0,9.0,43.568712000000005
35,【满山红】红富士苹果75#-约1斤,17.678712000000004,-12.8289%,35.8,-4.4901,0.0015,10.0,41.36871200000001
36,【杨果铺】嘴强大脑奶香核桃-1包500g,17.678712000000004,240.0000%,7.6,16.800000000000004,0.916201117318436,10.0,41.36871200000001
37,【真的超甜】黄蒂柑橘子1个,17.678712000000004,94.1667%,6.6,5.6499999999999995,1.0,10.0,41.36871200000001
38,【皮薄水润】东江湖蜜桔子-450-500g,17.678712000000004,43.3333%,6.6,2.5999999999999996,1.0,10.0,41.36871200000001
