,goods,value,all_profit,all_profit_total,all_sales_price,discount_rate
0,['鲜丰玉麒麟西瓜-半只约4-5斤'],32.8,[17.799999999999997],17.799999999999997,[32.8],[1]
1,['【进口】菲律宾凤梨-1.8-1.9kg/只'],38.8,[19.799999999999997],19.799999999999997,[38.8],[1]
2,['泰国金蜜柚子-约2.8-3.2斤/只'],78.8,[32.4],32.4,[78.8],[1]
3,"['【进口】香蕉-500~550g/份', '凯特芒芒果-1只700-800g']",35.6,"[5.8074074074074105, 16.200000000000003]",22.007407407407413,"[9.8, 25.8]","[1, 1]"
4,"['【进口】香蕉-500~550g/份', '红心猕猴桃-1盒5只']",32.6,"[5.8074074074074105, 14.0]",19.80740740740741,"[9.8, 22.8]","[1, 1]"
5,"['【进口】香蕉-500~550g/份', '鲜丰玉麒麟西瓜-半只约4-5斤']",42.599999999999994,"[5.8074074074074105, 17.799999999999997]",23.607407407407408,"[9.8, 32.8]","[1, 1]"
6,"['【进口】香蕉-500~550g/份', '新疆蜜瓜-半只3-3.5斤']",38.6,"[5.8074074074074105, 18.3]",24.10740740740741,"[9.8, 28.8]","[1, 1]"
7,"['【进口】香蕉-500~550g/份', '【进口】菲律宾凤梨-1.8-1.9kg/只']",48.599999999999994,"[5.8074074074074105, 19.799999999999997]",25.607407407407408,"[9.8, 38.8]","[1, 1]"
8,"['【进口】香蕉-500~550g/份', '泰国金蜜柚子-约2.8-3.2斤/只']",88.6,"[5.8074074074074105, 32.4]",38.20740740740741,"[9.8, 78.8]","[1, 1]"
9,"['新疆无籽黑提-约300g', '凯特芒芒果-1只700-800g']",36.6,"[6.6000000000000005, 16.200000000000003]",22.800000000000004,"[10.8, 25.8]","[1, 1]"
10,"['新疆无籽黑提-约300g', '红心猕猴桃-1盒5只']",33.6,"[6.6000000000000005, 14.0]",20.6,"[10.8, 22.8]","[1, 1]"
11,"['新疆无籽黑提-约300g', '鲜丰玉麒麟西瓜-半只约4-5斤']",43.599999999999994,"[6.6000000000000005, 17.799999999999997]",24.4,"[10.8, 32.8]","[1, 1]"
12,"['新疆无籽黑提-约300g', '新疆蜜瓜-半只3-3.5斤']",39.6,"[6.6000000000000005, 18.3]",24.900000000000002,"[10.8, 28.8]","[1, 1]"
13,"['新疆无籽黑提-约300g', '【进口】菲律宾凤梨-1.8-1.9kg/只']",49.599999999999994,"[6.6000000000000005, 19.799999999999997]",26.4,"[10.8, 38.8]","[1, 1]"
