,当前组合商品名称,总毛利,每款商品对应的毛利率,每款商品的原始售价,每款商品的折扣毛利,每款商品的折扣率,毛利排名,该组合下客户最终的订单金额
0,【满山红】红富士苹果75#-约1斤,-0.047287999999998664,-64.1443%,7.8,-4.4901,0.0015,1.0,5.992712000000002
1,【菲律宾】进口香蕉-约450~500g/份,-0.047287999999998664,41.6667%,6.6,2.5000000000000018,0.871794871794872,1.0,5.992712000000002
2,【满山红】红富士苹果75#-约1斤,0.07671199999999967,-74.8350%,6.6,-4.4901,0.0015,2.0,5.816712
3,【皮薄水润】东江湖蜜桔子-450-500g,0.07671199999999967,43.3333%,6.6,2.5999999999999996,1.0,2.0,5.816712
4,【满山红】红富士苹果75#-约1斤,0.8407120000000003,-74.8350%,6.9,-4.4901,0.0015,3.0,6.080712
5,【脆甜】冰糖冬枣-约半斤,0.8407120000000003,56.6667%,6.6,3.4000000000000004,1.0,3.0,6.080712
6,【满山红】红富士苹果75#-约1斤,1.7607120000000012,-64.1443%,7.8,-4.4901,0.0015,4.0,11.800712000000003
7,【菲律宾】进口香蕉-约450~500g/份,1.7607120000000012,41.6667%,6.6,2.5000000000000018,0.871794871794872,4.0,11.800712000000003
8,【皮薄水润】东江湖蜜桔子-450-500g,1.7607120000000012,43.3333%,6.6,2.5999999999999996,1.0,4.0,11.800712000000003
9,【满山红】红富士苹果75#-约1斤,2.1527120000000024,-64.1443%,7.5,-4.4901,0.0015,5.0,5.992712000000002
10,菲诺纯椰汁-约180ml/袋,2.1527120000000024,78.3333%,6.6,4.700000000000003,0.906666666666667,5.0,5.992712000000002
11,【满山红】红富士苹果75#-约1斤,2.524712000000002,-64.1443%,7.8,-4.4901,0.0015,6.0,12.064712000000002
12,【菲律宾】进口香蕉-约450~500g/份,2.524712000000002,41.6667%,6.9,2.5000000000000018,0.871794871794872,6.0,12.064712000000002
13,【脆甜】冰糖冬枣-约半斤,2.524712000000002,56.6667%,6.6,3.4000000000000004,1.0,6.0,12.064712000000002
14,【满山红】红富士苹果75#-约1斤,2.6487119999999997,-74.8350%,6.9,-4.4901,0.0015,7.0,11.888712
15,【脆甜】冰糖冬枣-约半斤,2.6487119999999997,56.6667%,6.6,3.4000000000000004,1.0,7.0,11.888712
16,【皮薄水润】东江湖蜜桔子-450-500g,2.6487119999999997,43.3333%,6.6,2.5999999999999996,1.0,7.0,11.888712
17,【满山红】红富士苹果75#-约1斤,2.892711999999999,-40.8191%,11.8,-4.4901,0.0015,8.0,8.632712
18,百香果-2只/份,2.892711999999999,96.6667%,6.6,5.799999999999999,0.830508474576271,8.0,8.632712
19,【满山红】红富士苹果75#-约1斤,3.0067119999999994,-64.1443%,7.6,-4.4901,0.0015,9.0,6.696712
20,【真的超甜】黄蒂柑橘子1个,3.0067119999999994,94.1667%,6.6,5.6499999999999995,1.0,9.0,6.696712
21,【满山红】红富士苹果75#-约1斤,3.836712000000004,-64.1443%,7.8,-4.4901,0.0015,10.0,11.976712000000004
22,【菲律宾】进口香蕉-约450~500g/份,3.836712000000004,35.7143%,7.5,2.5000000000000018,0.871794871794872,10.0,11.976712000000004
23,菲诺纯椰汁-约180ml/袋,3.836712000000004,78.3333%,6.6,4.700000000000003,0.906666666666667,10.0,11.976712000000004
