,goods,value,all_profit,all_profit_total,all_sales_price,discount_rate,profit_rate
0,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【甜】喀什西梅-约250-300g']",26.470000000000002,"[-1.288888888888889, 2.5, 2.5, 6.800000000000001]",8.070000000000002,"[3.8, 3.8, 3.8, 21.8]","[0.0029239766081871348, 0.0029239766081871348, 0.0029239766081871348, 0.7237512742099897]","['-42.9630%', '83.3333%', '83.3333%', '32.3810%']"
1,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【不吐籽大口吃】软籽石榴-1只350-450g']",25.57,"[-1.288888888888889, 2.5, 2.5, 8.8]",10.170000000000002,"[3.8, 3.8, 3.8, 20.8]","[0.0029239766081871348, 0.0029239766081871348, 0.0029239766081871348, 0.9027777777777776]","['-42.9630%', '83.3333%', '83.3333%', '44.0000%']"
2,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '那么大西梅-约228g/罐']",27.37,"[-1.288888888888889, 2.5, 2.5, 10.8]",11.970000000000002,"[3.8, 3.8, 3.8, 22.8]","[0.0029239766081871348, 0.0029239766081871348, 0.0029239766081871348, 0.8723196881091616]","['-42.9630%', '83.3333%', '83.3333%', '49.0909%']"
3,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【不吐籽大口吃】手剥软籽石榴-1盒300g']",30.970000000000002,"[-1.288888888888889, 2.5, 2.5, 14.8]",15.570000000000002,"[3.8, 3.8, 3.8, 26.8]","[0.0029239766081871348, 0.0029239766081871348, 0.0029239766081871348, 0.8872305140961856]","['-42.9630%', '83.3333%', '83.3333%', '56.9231%']"
4,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '佳沛阳光金果36#-4只']",37.27,"[-1.288888888888889, 2.5, 2.5, 29.4]",29.469999999999995,"[3.8, 3.8, 3.8, 33.8]","[0.0029239766081871348, 0.0029239766081871348, 0.0029239766081871348, 0.8809993425378042]","['-42.9630%', '83.3333%', '83.3333%', '89.0909%']"
5,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【需解冻】冷冻榴莲肉（有核）-约300g/盒42.8']",53.47,"[-1.288888888888889, 2.5, 2.5, 30.999999999999996]",23.77,"[3.8, 3.8, 3.8, 56.8]","[0.0029239766081871348, 0.0029239766081871348, 0.0029239766081871348, 0.8059467918622849]","['-33.9257%', '65.8042%', '65.8042%', '43.7128%']"
6,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【新鲜直达】A级进口车厘子-约250g']",47.17,"[-1.288888888888889, 2.5, 2.5, -5.200000000000003]",-11.73,"[3.8, 3.8, 3.8, 49.8]","[0.0029239766081871348, 0.0029239766081871348, 0.0029239766081871348, 0.959393128067827]","['-61.2762%', '118.8548%', '118.8548%', '-15.1358%']"
9,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '【甜】喀什西梅-约250-300g']",30.07,"[-1.288888888888889, 2.5, 5.8, 6.800000000000001]",10.97,"[3.8, 3.8, 7.8, 21.8]","[0.0029239766081871348, 0.0029239766081871348, 0.3561253561253561, 0.7237512742099897]","['-42.9630%', '83.3333%', '82.8571%', '32.3810%']"
11,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '【鲜果切】西瓜鲜果切-约2斤']",28.36,"[-1.288888888888889, 2.5, 5.8, 16.799999999999997]",21.16,"[3.8, 3.8, 7.8, 19.9]","[0.0029239766081871348, 0.0029239766081871348, 0.3561253561253561, 0.843104410943607]","['-42.9630%', '83.3333%', '82.8571%', '88.4211%']"
13,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '【不吐籽大口吃】软籽石榴-1只350-450g']",29.17,"[-1.288888888888889, 2.5, 5.8, 8.8]",13.07,"[3.8, 3.8, 7.8, 20.8]","[0.0029239766081871348, 0.0029239766081871348, 0.3561253561253561, 0.9027777777777776]","['-42.9630%', '83.3333%', '82.8571%', '44.0000%']"
